"Provider","PotentialFraud"
"PRV51001","No"
"PRV51003","Yes"
"PRV51004","No"
"PRV51005","Yes"
"PRV51007","No"
"PRV51008","No"
"PRV51011","No"
"PRV51012","No"
"PRV51013","No"
"PRV51014","No"
"PRV51015","No"
"PRV51016","No"
"PRV51017","No"
"PRV51021","Yes"
"PRV51023","No"
"PRV51024","No"
"PRV51025","No"
"PRV51026","No"
"PRV51027","No"
"PRV51029","No"
"PRV51030","No"
"PRV51031","No"
"PRV51032","No"
"PRV51035","No"
"PRV51036","No"
"PRV51037","Yes"
"PRV51038","No"
"PRV51040","No"
"PRV51041","No"
"PRV51042","No"
"PRV51043","No"
"PRV51044","No"
"PRV51045","No"
"PRV51046","No"
"PRV51047","No"
"PRV51048","No"
"PRV51049","No"
"PRV51052","Yes"
"PRV51053","No"
"PRV51054","No"
"PRV51055","No"
"PRV51056","No"
"PRV51057","No"
"PRV51058","No"
"PRV51059","Yes"
"PRV51060","No"
"PRV51061","No"
"PRV51062","No"
"PRV51063","No"
"PRV51064","Yes"
"PRV51065","No"
"PRV51066","No"
"PRV51067","Yes"
"PRV51068","No"
"PRV51070","No"
"PRV51071","No"
"PRV51072","No"
"PRV51074","No"
"PRV51075","No"
"PRV51076","No"
"PRV51077","Yes"
"PRV51078","No"
"PRV51081","No"
"PRV51082","No"
"PRV51083","No"
"PRV51084","Yes"
"PRV51086","No"
"PRV51089","No"
"PRV51090","No"
"PRV51091","No"
"PRV51093","No"
"PRV51096","No"
"PRV51097","No"
"PRV51098","No"
"PRV51100","No"
"PRV51101","No"
"PRV51102","No"
"PRV51103","Yes"
"PRV51104","No"
"PRV51105","No"
"PRV51108","No"
"PRV51109","No"
"PRV51110","No"
"PRV51111","No"
"PRV51112","No"
"PRV51113","No"
"PRV51114","No"
"PRV51115","No"
"PRV51117","No"
"PRV51118","No"
"PRV51119","Yes"
"PRV51120","No"
"PRV51121","No"
"PRV51122","No"
"PRV51123","No"
"PRV51125","No"
"PRV51126","Yes"
"PRV51128","No"
"PRV51129","No"
"PRV51130","No"
"PRV51131","No"
"PRV51132","No"
"PRV51134","No"
"PRV51135","No"
"PRV51136","No"
"PRV51137","No"
"PRV51138","No"
"PRV51139","No"
"PRV51140","No"
"PRV51141","No"
"PRV51142","No"
"PRV51143","No"
"PRV51144","No"
"PRV51145","Yes"
"PRV51146","Yes"
"PRV51147","No"
"PRV51148","Yes"
"PRV51149","Yes"
"PRV51151","No"
"PRV51152","No"
"PRV51153","No"
"PRV51154","No"
"PRV51155","No"
"PRV51156","No"
"PRV51159","Yes"
"PRV51160","No"
"PRV51164","No"
"PRV51165","No"
"PRV51166","No"
"PRV51167","No"
"PRV51168","No"
"PRV51169","No"
"PRV51170","Yes"
"PRV51171","No"
"PRV51173","Yes"
"PRV51175","No"
"PRV51176","No"
"PRV51178","Yes"
"PRV51179","No"
"PRV51180","No"
"PRV51181","No"
"PRV51183","No"
"PRV51185","No"
