Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),Lake_Visible,LES_Cloud_Exist
58,77,51,8,160,m,M,m,m,10,989.9,1012.6,1012.9,0,NC,NC,N,N
58,80,52,6,160,m,M,m,m,10,990.2,1013.1,1013.2,0,NC,NC,N,N
57,86,53,5,160,m,M,m,m,10,990.2,1013.2,1013.2,0,NC,NC,N,N
63,86,59,9,190,m,M,m,m,10,990.2,1013,1013.2,0,NC,NC,N,N
64,86,60,9,190,m,4000,m,m,10,990.2,1013.1,1013.2,0,NC,NC,N,N
63,90,60,9,190,m,25000,m,m,10,990.2,1013.1,1013.2,0,NC,NC,N,N
64,89,61,11,200,m,700,20000,m,5,990.2,1013.2,1013.2,0,NC,NC,Y,N
65,90,62,11,190,m,500,m,m,6,990.6,1013.4,1013.5,0,NC,NC,Y,N
66,87,62,15,200,22,500,m,m,7,990.6,1013.6,1013.5,0,NC,NC,Y,N
66,83,61,20,200,29,700,m,m,6,991.2,1014,1014.2,0,NC,NC,Y,N
67,84,62,20,210,M,700,m,m,9,990.9,1013.7,1013.9,0,NC,NC,Y,N
68,81,62,22,200,31,700,1300,m,8,990.6,1013.4,1013.5,0,NC,NC,Y,N
68,81,62,20,190,28,700,1700,m,7,990.2,1012.9,1013.2,0,NC,NC,Y,N
68,81,62,17,190,31,900,1900,m,9,989.9,1012.8,1012.9,0,NC,NC,Y,N
70,75,62,22,190,38,900,2300,m,10,989.2,1012.1,1012.2,0,NC,NC,Y,N
71,73,62,18,190,M,2000,m,m,10,989.6,1012.2,1012.5,0,NC,NC,Y,N
71,73,62,16,200,25,M,m,m,10,989.6,1012.1,1012.5,0,NC,NC,Y,N
70,73,61,20,210,29,M,m,m,10,989.2,1012.1,1012.2,0,NC,NC,N,N
70,73,61,18,200,25,16000,m,m,10,989.2,1012,1012.2,0,NC,NC,N,N
71,70,61,16,210,24,13000,m,m,10,989.6,1012.3,1012.5,0,NC,NC,N,N
71,70,61,18,210,m,M,m,m,10,989.9,1012.4,1012.9,0,NC,NC,N,N
69,78,62,13,230,m,M,m,m,10,989.9,1012.7,1012.9,0,NC,NC,N,N
69,78,62,9,240,20,M,m,m,10,990.2,1013,1013.2,0,NC,NC,N,N
67,84,62,8,260,m,M,m,m,10,990.9,1013.6,1013.9,0,NC,NC,N,N
