Date,Total Usage,Notifications,Unlocks
08/26/2022,236,600,102
08/27/2022,194,411,96
08/28/2022,301,709,114
08/29/2022,190,542,119
08/30/2022,204,583,85
08/31/2022,229,578,101
09/01/2022,203,520,136
09/02/2022,200,548,112
09/03/2022,137,207,70
09/04/2022,187,267,89
09/05/2022,314,539,123
09/06/2022,214,513,144
09/07/2022,257,574,98
09/08/2022,243,560,132
09/09/2022,372,850,140
09/10/2022,198,447,107
09/11/2022,365,608,100
09/12/2022,376,844,163
09/13/2022,161,503,86
09/14/2022,113,427,84
09/15/2022,164,424,124
09/16/2022,270,482,138
09/17/2022,264,647,153
09/18/2022,322,733,110
09/19/2022,124,569,139
09/20/2022,183,489,84
09/21/2022,162,468,97
