"STN
Code",Name of Monitoring Location,Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
4368,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,24.0,27.0,3.2,6.5,7.0,8.0,245,5160,1.6,3.2,1.02,3.60,9,21,120,210
2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,26.0,29.0,3.0,6.8,6.9,7.8,599,1179,1.9,4.6,0.77,3.56,15,23,150,240
1790,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,18.0,24.0,4.2,6.0,7.2,8.2,28000,56900,2.4,2.8,1.20,1.64,3,3,47,150
4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,22.0,29.0,5.4,6.2,6.3,7.9,180,476,1.0,2.5,0.34,2.30,24,365,170,549
4921,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,21.0,30.0,5.4,6.5,7.3,8.0,496,734,1.0,2.3,0.35,1.00,43,289,240,727
4936,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,22.0,23.0,6.8,7.5,7.1,9.0,158,320,1.2,2.2,0.42,1.79,3,4,63,150
4919,BRAMHASAGAR,Wetland,ANDHRA PRADESH,20.0,29.0,5.1,6.4,7.1,7.9,381,608,1.0,2.2,0.32,0.67,45,322,210,602
4926,DALI TANK,Wetland,ANDHRA PRADESH,22.0,31.0,4.2,7.3,7.1,8.5,274,18950,1.5,2.5,0.38,2.82,4,15,2,150
4931,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,27.0,31.0,4.5,7.2,7.1,8.6,12230,56900,1.4,3.6,0.63,2.86,4,15,64,120
4917,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,21.0,30.0,3.8,5.8,6.6,8.1,802,1326,2.2,3.5,1.08,4.51,191,659,540,1120
4934,INTERU SWAMPS,Wetland,ANDHRA PRADESH,25.0,26.0,6.1,7.5,7.3,7.9,16170,26800,2.4,2.8,1.12,1.80,3,3,63,150
4918,KATTAMANCHI CHERUVU,Wetland,ANDHRA PRADESH,23.0,30.0,4.3,5.6,6.8,8.1,733,1303,1.8,3.2,0.65,2.91,170,525,430,1120
4933,KRISHNA MANGROVES,Wetland,ANDHRA PRADESH,24.0,28.0,5.1,6.2,7.1,8.0,24000,34500,2.4,2.8,1.03,1.81,3,3,71,150
4916,MID PENNAR RESERVOIR,Wetland,ANDHRA PRADESH,21.0,27.0,5.3,6.3,7.0,7.9,346,560,1.0,1.7,0.33,2.57,84,376,220,659
4925,NAUPADA SWAMPS,Wetland,ANDHRA PRADESH,22.0,32.0,2.0,8.0,7.2,8.3,330,58500,1.8,4.1,1.00,6.16,7,28,2,1100
