section,text
Indigenous era,"Prior to European colonization the region around modern-day Boston was inhabited by the Indigenous Massachusett people. Their habitation consisted of small, seasonal communities along what is now the Charles River. The river was accurately named Quinobequin in the Algonquin language of the Massachusett, and they knew it as ""the meandering one"". The people who lived in the area most likely moved between inland winter homes along the meanders of the Charles and summer communities on the coast. Game was most easily hunted inland during bare-tree seasons while the fishing shoals and shellfish beds on the tidal flats of Boston harbor were more comfortably exploited during the summer months.
Being surrounded by mudflats and salt marshes, the Shawmut Peninsula itself was more sparsely occupied than its surroundings before the arrival of Europeans. Nevertheless, archeological excavations have revealed one of the oldest fish weirs in New England on Boylston Street. Native people constructed this weir to trap fish as early as 7,000 years before European arrival in the Western Hemisphere.
The Shawmut Peninsula was originally connected with the mainland to its south by a narrow isthmus, Boston Neck, and was surrounded by Boston Harbor and Back Bay, an estuary of the Charles River. This neck of land was surrounded by infill beginning in 1803 and expanded to dozens of times its original width by the turn of the 20th century."
Foundation by Europeans -> Blaxton Era (1624–1630),"The first European to live in what would become Boston was William Blaxton. He was directly responsible for the foundation of Boston by Puritan colonizers in 1630. Blaxton had joined the failed Ferdinando Gorges expedition to America in 1623, which never landed. He eventually arrived later in 1623, as a chaplain to the subsequent expedition of Ferdinando's son, Robert Gorges, aboard the ship Katherine. This expedition landed in Weymouth, Massachusetts, five miles south of what is now Boston.
By 1625 the colony at Weymouth had failed and all of his fellow travelers returned to England. Blaxton remained, moving five miles north to a 1 mi2 rocky bulge at the end of a swampy isthmus surrounded on all sides by mudflats. Blaxton thus became the first colonist to settle in what would become Boston. He lived at the Western end of the Shawmut Peninsula at the foot of what is now Beacon Hill and was entirely alone for more than five years."
Foundation by Europeans -> Puritan Era (1630–1750) -> Invitation from Blaxton,"In 1629 Isaac Johnson landed with the Puritans in nearby Charlestown, having left Salem for want of food. Blaxton and Johnson had been university contemporaries at Emmanuel College, Cambridge. The rockier highlands of Charlestown lacked easily tappable wells. Knowing of this difficulty, Blaxton wrote an historic letter in September 1630 to Johnson and his group of Puritans that advertised Boston's excellent natural spring, and invited them to settle on his land. This they did over the course of September 1630."
"Foundation by Europeans -> Puritan Era (1630–1750) -> Renamed ""Boston""","One of Johnson's last official acts as the leader of the Charlestown community before dying on September 30, 1630, was to name the new settlement across the river ""Boston."" He named the settlement after his hometown in Lincolnshire, from which he, his wife (namesake of the Arbella) and John Cotton (grandfather of Cotton Mather) had emigrated to New England. The name of the English city ultimately derives from that town's patron saint, St. Botolph, in whose church John Cotton served as the rector until his emigration with Johnson. In early sources the Lincolnshire Boston was known as ""St. Botolph's town"", later contracted to ""Boston"". Prior to this renaming the settlement on the peninsula had been known as ""Shawmut"" by Blaxton and ""Trimountaine"" by the Puritan settlers he had invited."
Foundation by Europeans -> Puritan Era (1630–1750) -> Settlement on Shawmut Peninsula,"The Puritans settled around the advertised springs on the north side of what is now Beacon Hill (at the time called ""Trimountaine"" from its three peaks). Blaxton negotiated a grant of 50 acres (20 ha) for himself in the final paperwork with Johnson, amounting to around 10% of the peninsula's total area. However, by 1633 the new town's 4,000 citizens made retention of such a large parcel untenable and Blaxton sold all but six acres back to the Puritans in 1634 for £30 ($5,455 in adjusted USD). Governor Winthrop, Johnson's successor as leader of the settlement, purchased the land through a one-time tax on Boston residents of 6 shillings (around $50 adjusted) per head. This land became a town commons open to public grazing. It now forms the bulk of Boston Common, the largest public park in present-day downtown Boston.
After Johnson's death the Episcopalian Blaxton did not get along with the Puritan leaders of the Boston church, which rapidly became radically fundamentalist in its outlook as it began executing religious dissidents such as Quakers. In 1635 Blaxton moved about 35 miles (56 km) south of Boston to what the Indians then called the Pawtucket River and is today known as the Blackstone River in Cumberland, Rhode Island. He was that region's first European settler, arriving one year before Roger Williams established Providence Plantations."
Foundation by Europeans -> Puritan Era (1630–1750) -> Original topography of the peninsula,"The peninsula on which the Puritans settled was rocky scrubland with few trees. It held three major hills: Copps Hill (now the North End), Fort Hill (later the Financial District), and Trimountaine (Beacon Hill). Trimountaine was the tallest of the three, with its name coming from its three separate peaks. The name was retained for the hill and in later years Trimountaine would be shortened to Tremont, for which Tremont Street was named.
The three peaks of Trimountaine were,

Cotton Hill—named for John Cotton, and later renamed Pemberton Hill (now Pemberton Square),
Centry or Sentry Hill—the present location of the Massachusetts State House, and
Mount Whoredom—also known as Mount Vernon, now the location of Louisburg Square, home to some of the most expensive real estate in the nation .
Over the next two centuries the three hills would be regraded and the geography of the area transformed through landfill and annexation. Beacon Hill or Trimountaine, though shortened between 1807 and 1824, remains a prominent feature of the Boston cityscape. It received its current name from the signal beacon erected on its highest peak to warn outlying towns of danger."
Foundation by Europeans -> Puritan Era (1630–1750) -> Response to 1684 charter revocation,"In 1684, fearing that the rumored revocation of the Massachusetts Bay Colony's Charter by King Charles II would come to pass, Boston city fathers sought to buttress their fifty year old claim to the land of the Shawmut Peninsula. To this end in early 1684 they attempted to secure legal ownership of the Shawmut Peninsula from the descendents of Chickatawbut (d. 1633), the Massachusett sachem at the time Blaxton first settled on the peninsula, fifty years prior. Such a descendent was located, a sachem named Josias Wampatuck. There is little evidence that this sachem, his grandfather Chickatawbut or any of their people ever inhabited the peninsula, however the lack of formal legal documents involving Indians during the Blaxton transactions encouraged the creation of a backdated deed (known in English common law as a ""quitclaim"") which Josias duly signed on March 19, 1684 (see document at right, and its transcription). The charter was revoked as promised later that year on the advice of colonial administrator Edward Randolph."
Colonial era -> Disasters in the 1700s,"A particularly virulent sequence of six smallpox outbreaks took place from 1636 to 1698. In 1721–1722, the most severe epidemic occurred, killing 844 people. Out of a population of 10,500, 5889 caught the disease, 844 (14%) died, and at least 900 fled the city, thereby spreading the virus. Colonists tried to prevent the spread of smallpox by isolation. For the first time in America, inoculation was tried; it causes a mild form of the disease. Inoculation was itself very controversial because of the threat that the procedure itself could be fatal to 2% of those who were treated, or otherwise spread the disease. It was introduced by Zabdiel Boylston and Cotton Mather.
In 1755, Boston endured the largest earthquake ever to hit the Northeastern United States, (estimated at 6.0 to 6.3 on the Richter magnitude scale), called the Cape Ann earthquake. There was some damage to buildings, but no deaths.
The first ""Great Fire"" of Boston destroyed 349 buildings on March 20, 1760. It was one of many significant fires fought by the Boston Fire Department."
"Boston and the American Revolution, 1765–1775","Boston had taken an active role in the protests against the Stamp Act of 1765. Its merchants avoided the customs duties which angered London officials and led to a crackdown on smuggling. Governor Thomas Pownall (1757 to 1760) tried to be conciliatory, but his replacement Governor Francis Bernard 1760–1769) was a hard-liner who wanted to stamp out the opposition voices that were growing louder and louder in town meetings and pamphlets. Historian Pauline Maier says that his letters to London greatly influenced officials there, but they ""distorted"" reality. ""His misguided conviction that the 'faction' had espoused violence as its primary method of opposition, for example, kept him from recognizing the radicals' peace-keeping efforts.... Equally dangerous, Bernard's elaborate accounts were sometimes built on insubstantial evidence."" Warden argues that Bernard was careful not to explicitly ask London for troops, but his exaggerated accounts strongly suggested they were needed. In the fall of 1767 he warned about a possible insurrection in Boston any day, and his exaggerated report of one disturbance in 1768, ""certainly had given Lord Hillsboro the impression that troops were the only way to enforce obedience in the town."" Warden notes that other key British officials in Boston wrote London with the ""same strain of hysteria."" Four thousand British Army troops arrived in Boston in October 1768 as a massive show of force; tensions escalated.

By the late 1760s, Patriot colonists focused on the rights of Englishmen that they claimed to hold, especially the principle of ""no taxation without representation"" as articulated by John Rowe, James Otis Sr., Samuel Adams and other Boston firebrands. Boston played a major role in the American Revolution, including the American Revolutionary War. On March 5, 1770, nine soldiers of the 29th Regiment of Foot opened fire at a crowd of Bostonians which was verbally and physically harassing them; five people were killed in what came to be known as the Boston Massacre, dramatically escalating tensions. The British Parliament, meanwhile, continued to insist on its right to tax the Britain's North American colonies and finally came up with a small tax on tea. Up and down the Thirteen Colonies, American colonists prevented merchants from selling the tea, but a shipment arrived in Boston Harbor. On December 16, 1773, members of the Sons of Liberty, disguised as Native Americans, dumped 342 chests of tea in the harbor in the Boston Tea Party. The Sons of Liberty decided to take action to defy Britain's new tax on tea, but the British government retaliated with a series of punitive laws, closing down the Port of Boston and stripping Massachusetts of its self-government. The other colonies rallied in solidarity behind Massachusetts, setting up the First Continental Congress, while arming and training militia units. The British sent more troops to Boston, and made its commander General Thomas Gage the governor. Gage believed the Patriots were hiding munitions in the town of Concord, and he sent troops to capture them. Paul Revere, William Dawes, and Dr. Samuel Prescott made their famous midnight rides to alert the Minutemen in the surrounding towns, who fought the resulting Battle of Lexington and Concord in April 1775. It was the first battle of the American Revolution.
Militia units across New England rallied to the defense of Boston, and Congress sent in General George Washington to take command. The British were trapped in the city, and suffered very heavy losses in their victory at the Battle of Bunker Hill.
Washington brought in artillery and forced the British out as the patriots took full control of Boston. The American victory on March 17, 1776, is celebrated as Evacuation Day. The city has preserved and celebrated its revolutionary past, from the harboring of the USS Constitution to the many famous sites along the Freedom Trail."
19th century -> Economic and population growth,"Boston was transformed from a relatively small and economically stagnant town in 1780 to a bustling seaport and cosmopolitan center with a large and highly mobile population by 1800. It had become one of the world's wealthiest international trading ports, exporting products like rum, fish, salt and tobacco. The upheaval of the American Revolution, and the British naval blockade that shut down its economy, had caused a majority of the population to flee the city. From a base of 10,000 in 1780, the population approached 25,000 by 1800. The abolition of slavery in the state in 1783 gave blacks greater physical mobility, but their social mobility was slow.
Boston was part of the New England corner of triangular trade, receiving sugar from the Caribbean and refining it into rum and molasses, partly for export to Europe. Later, confectionery manufacturing would become another refined product made from similar raw materials. Related companies with facilities in Boston included the Boston Sugar Refinery (inventors of granulated sugar), Domino Sugar, the Purity Distilling Company, Necco, Schrafft's, Squirrel Brands (as the predecessor Austin T. Merrill Company of Roxbury) American Nut and Chocolate (1927) This legacy continued into the 20th century; by 1950, there were 140 candy companies in Boston. (Others were located in and some moved to nearby Cambridge.) The Boston Fruit Company began importing tropical fruit from the Caribbean in 1885; it is a predecessor of United Fruit Company and Chiquita Brands International.
Boston had the status of a town; it was chartered as a city in 1822. The second mayor was Josiah Quincy III, who undertook infrastructure improvements in roads and sewers, and organized the city's dock area around the newly erected Faneuil Hall Marketplace, popularly known as Quincy Market. By the mid-19th century Boston was one of the largest manufacturing centers in the nation, noted for its garment production, leather goods, and machinery industries. Manufacturing overtook international trade to dominate the local economy. A network of small rivers bordering the city and connecting it to the surrounding region made for easy shipment of goods and allowed for a proliferation of mills and factories. The building of the Middlesex Canal extended this small river network to the larger Merrimack River and its mills, including the Lowell mills and mills on the Nashua River in New Hampshire. By the 1850s, an even denser network of railroads (see also List of railroad lines in Massachusetts) facilitated the region's industry and commerce. For example, in 1851, Eben Jordan and Benjamin L. Marsh opened the Jordan Marsh Department store in downtown Boston. Thirty years later William Filene opened his own department store across the street, called Filene's.
Several turnpikes were constructed between cities to aid transportation, especially of cattle and sheep to markets. A major east–west route, the Worcester Turnpike (now Massachusetts Route 9), was constructed in 1810. Others included the Newburyport Turnpike (now Route 1) and the Salem Lawrence Turnpike (now Route 114)."
