section,text
17th century -> Native inhabitants,"It is difficult to estimate the origins of human habitation in the Connecticut River Valley, but there are physical signs dating back at least 9,000 years. Pocumtuck tradition describes the creation of Lake Hitchcock in Deerfield by a giant beaver, which perhaps represents the action of a glacier that retracted at least 12,000 years ago. Various sites indicate millennia of fishing, horticulture, beaver-hunting, and burials. Excavations over the last 150 years have taken many human remains from old burial places, sending them to the collections of institutions such as UMASS Amherst. The passage of the Native American Graves and Repatriation Act in 1990 ordered museums across Western Mass and the country to repatriate these remains to Native peoples, an ongoing process.
The region was inhabited by several Algonkian-speaking Native American communities, culturally connected but distinguished by the place names they assigned to their respective communities: Agawam (low land), Woronco (in a circular way), Nonotuck (in the midst of the river), Pocumtuck (narrow, swift river), and Sokoki (separated from their neighbors). The modern-day Springfield metropolitan area was inhabited by the Agawam Indians. The Agawam, as well as other groups, belong the larger cultural category of Alongkian Indians.
In 1634, Dutch traders triggered a devastating smallpox epidemic in among the region's Native people. Governor Bradford of Massachusetts writes that in Windsor (the site of the Dutch trading post), ""of 1,000 of [the Indians] 150 of them died."" With so many dead, ""rot[ting] above ground for want of burial,"" English colonists were emboldened to attempt significant settlement of the region."
17th century -> Colonial settlement,"Puritan fur trader William Pynchon was an original settler of Roxbury, Massachusetts, a magistrate, and then assistant treasurer of the Massachusetts Bay Colony. In 1635, he commissioned a scouting expedition led by John Cable and John Woodcock to find the Connecticut River Valley's most suitable site for the dual purposes of agriculture and trading. The expedition traveled either across the inland Bay Path from Boston to Albany via Springfield or, equally likely, along the coast and northward from the mouth of the Connecticut River. It concluded at Agawam where the Westfield River meets the Connecticut River, across the Connecticut River from modern-day Springfield, the northernmost settlement on ""The Great River"" at that time. The region's numerous rivers and geological history have dictated that its soil is among the finest for farming in the Northeast.
Cable and Woodcock found the Pocomtuc (or perhaps Nipmuck) village of Agawam on the western bank of the Connecticut River. The land near the river was clear of trees due to burns by the Indians, and covered in nutrient-rich river silt from both floods and glacial Lake Hitchcock. Just south of the Westfield River, Cable and Woodcock constructed a pre-fabricated house in present-day Agawam, Massachusetts (at modern-day Pynchon Point.)
On May 15, 1636, Pynchon led a settlement expedition to be administered by the Connecticut Colony, which included Henry Smith (Pynchon's son-in-law), Jehu Burr, William Blake, Matthew Mitchell, Edmund Wood, Thomas Ufford, John Cable, and a Massachusett Indian translator named Ahaughton. Pynchon likely never learned the Algonkian language, making the help of Native interpreters crucial in learning about the land and dealing with its Native inhabitants. Dutch and Plymouth Colonists had been leapfrogging their way up ""the Great River,"" as far north as Windsor, Connecticut, attempting to establish its northernmost village to gain the greatest access to the region's raw materials. Pynchon selected a spot just north of Enfield Falls, the first spot on the Connecticut River where all travelers have to stop to negotiate a waterfall 32 feet (9.8 m) in height, and then transship their cargoes from ocean-going vessels to smaller shallops. By founding Springfield, Pynchon positioned himself as the northernmost trader on the Connecticut River. Near Enfield Falls, he erected a warehouse to store goods awaiting shipment, which is still called ""Warehouse Point"" to this day, located in East Windsor, Connecticut.
In 1636, Pynchon's party purchased land on both sides of Connecticut River from 18 tribesmen who lived at a palisade fort at the current site of Springfield's Longhill Street. The price paid was 18 hoes, 18 fathoms of wampum, 18 coats, 18 hatchets, and 18 knives. Ahaughton was a signatory, witness, and likely negotiator for the deed. The Indians retained foraging and hunting rights and the rights to their existing farmlands, and were granted the right to compensation if livestock owned by colonists ruined their corn crops. As is the case for many Indian deeds, it is dubious whether or not the Native signatories of the document possessed the political authority to sign on behalf of their tribes.
In 1636, the fledgling colonial settlement was named Agawam Plantation and administered by the Connecticut Colony, as opposed to the Massachusetts Bay Colony."
17th century -> Leaving Connecticut for Massachusetts,"In 1640 and 1641, two events took place that forever changed the political boundaries of the Connecticut River Valley. From its founding until that time, Springfield had been administered by Connecticut along with Connecticut's three other settlements: Wethersfield, Hartford, and Windsor. In the spring of 1640, grain became scarce and the Connecticut Colony's cattle were dying of starvation. The nearby Connecticut River Valley settlements of Windsor and Hartford (then called ""Newtown"") gave power to William Pynchon to buy corn for all three English settlements. If the natives would not sell their corn at market prices, then Pynchon was authorized to offer more money. The natives refused to sell their corn at market prices, and then later refused to sell it at what Pynchon deemed ""reasonable"" prices. Pynchon refused to buy it, believing it best not to broadcast the English colonists' weaknesses, and also wanting to keep market values steady.
Leading citizens of what would become Hartford were furious with Pynchon for not purchasing the grain. With Windsor's and Wethersfield's consent, the Connecticut Colony's three southern settlements commissioned Captain John Mason, notable for his leadership in the Pequot War (including the Mystic Massacre), to travel to Springfield with ""money in one hand and a sword in the other"" to acquire grain for their settlements. On reaching what would become Springfield, Mason threatened the Pocumtucs with war if they did not sell their corn at ""reasonable prices."" The Pocumtucs capitulated and ultimately sold the colonists corn; however, Mason's violent approach deepened Native distrust towards the colonists. Before leaving, Mason also upbraided Pynchon publicly, accusing Pynchon of sharp trading practices and of forcing the Pocumtucs to trade only with him because they feared him. (The three southern Connecticut Colony settlements were surrounded by different tribes than Springfield, i.e. the more warlike Pequots and Mohegans.)
Ultimately, in 1640, Pynchon and the planters of Agawam voted to separate themselves from the other river towns, removing themselves from the jurisdiction of Connecticut Colony. Looking to capitalize on Springfield's defection, the Massachusetts Bay Colony decided to reassert its jurisdiction over land bordering the Connecticut River, including Agawam.
Tensions between Springfield and Connecticut were exacerbated by one final confrontation in 1640. Hartford had been keeping a fort at the mouth of the Connecticut River at Old Saybrook, for protection against various tribes and the New Netherland Colony. After Springfield sided with the Massachusetts Bay Colony, Connecticut, demanded that Springfield's boats pay a toll when passing the Fort at Old Saybrook, (which, at the time, was not administered by the Connecticut Colony, but the short-lived Saybrook Colony.) Pynchon would have been agreeable to this if Springfield could have had representation at the Fort at Saybrook; however, Connecticut refused to allow Springfield a presence at the fort, and thus Pynchon instructed his boats to refuse to pay Connecticut's toll. When the Massachusetts Bay Colony heard about this controversy, it took Pynchon's side and immediately drafted a resolution that required Connecticut ships to pay a toll when entering Boston Harbor. Connecticut, which was then dependent largely on trade with Boston, immediately dropped its tax on Springfield.
When the dust finally settled, Pynchon was named magistrate of Agawam by the Massachusetts Bay Colony and, in honor of his importance, the settlement was renamed Springfield after his place of birth, in England. For decades, Springfield, which then included modern-day Westfield, was the westernmost settlement in Massachusetts.
In 1642, Massachusetts Bay commissioned a definable border to be drawn up, one of the first in what is now America. Led by Nathaniel Woodward and Solomon Saffery, the group left in a border crossing at the old Bissell's Ferry in Windsor, north of today's downtown Windsor and went into a line near what is currently U.S. Route 44. After the results were published, this line greatly benefited the Massachusetts Bay Colony. The towns of Suffield, Enfield, Somers, Stafford, and Granby were placed in the jurisdiction of Springfield lands. Connecticut protested the result, claiming that they didn't even walk but sailed by boat from the Charles River, around Cape Cod and went up to near Enfield Falls. This resulted in one of the longest running border disputes in American history."
"17th century -> Early ""firsts""","In 1645, 46 years before the Salem witch trials, Springfield experienced America's first accusations of witchcraft when Mary (Bliss) Parsons, wife of Cornet Joseph Parsons, accused a widow named Marshfield, who had moved from Windsor to Springfield, with witchcraft—an offense then punishable by death. For this, Mary Parsons was found guilty of slander.
In 1651, a different Mary Parsons was accused of witchcraft, and also of murdering her own child. In turn, Mary Parsons then accused her own husband, Hugh Parsons, of witchcraft. At America's first witch trial, both Mary and Hugh Parsons were found not guilty of witchcraft for want of satisfactory evidence. However, Mary was found guilty of murdering her own child, but died in prison in 1651, before her death sentence could be carried out.
William Pynchon was the New World's first commercial meat packer. In 1641, he began exporting barrels of salt-pork; however, in 1650 he became famous for writing the New World's first banned book, The Meritous Price of Our Redemption. In 1649, Pynchon found time to write the book which was published in London in 1650. Several copies made it back to the Massachusetts Bay Colony and its capital, Boston, which reacted with rage to Pynchon rather than with support. For his critical attitude toward Massachusetts' Calvinist Puritanism, Pynchon was accused of heresy, and his book was burned on the Boston Common. Only 4 known copies survived. By declaration of the Massachusetts General Court, in 1650, The Meritous Price of Our Redemption became the first-ever banned book in the New World. In 1651, Pynchon was accused of heresy in Boston – at the same meeting of the Massachusetts General Court where Springfielder Mary Parsons was sentenced to death. Standing to lose all of his land-holdings – the largest in the Connecticut River Valley – William Pynchon transferred ownership to his son, John and, in 1652, moved back to England with his friend, the Reverend Moxon.
William's son, John Pynchon, and his brother-in-law, Elizur Holyoke, quickly took on the settlement's leadership roles. They began moving Springfield away from the diminishing fur trade into agricultural pursuits. In 1655, John Pynchon launched America's first cattle drive, prodding a herd from Springfield to Boston along the old Bay Path Trail.
Purchases of large swaths of land from the Indians continued throughout the 17th century, enlarging Springfield's territory and forming other colonial towns elsewhere in the Connecticut River Valley. Westfield was the westernmost settlement of Massachusetts Bay Colony until 1725, and Springfield was, as it remains today, the colony's most populous and important western settlement. Over decades and centuries, portions of Springfield were partitioned off to form neighboring towns; however, throughout the centuries, Springfield has remained the region's most populous and most important city.
Due to imprecision in surveying colonial borders, Springfield became embroiled in a boundary dispute between the Massachusetts Bay Colony and the Connecticut Colony, which was not resolved until 1803–4. (See the article on the History of Massachusetts-Connecticut Border). As a result, some lands originally administered by Springfield – including the William Pynchon's Warehouse Point – are now administered by Connecticut."
17th century -> Trade and encroachment,"For the next several decades, Native people experienced a complex relationship with the colonists. The fur trade stood at the heart of their economic interactions, a lucrative business that guided many other policy decisions. White settlers traded wampum, cloth and metal in exchange for furs, as well as horticultural produce. Because of the seasonal nature of goods provided by Native people, compared with the constant availability of colonial goods, a credit system developed. Land, the natural resource whose availability did not fluctuate, served as collateral for mortgages in which Native people bought goods from colonists in exchange for the future promise of beavers. However, trade with the colonists made pelts so lucrative that the beaver was rapidly overhunted. The volume of the trade fell, from a 1654 high of 3,723 pelts to a mere 191 ten years later. With every mortgage, Native people lost more land - even as their population base recovered and expanded from previous epidemics of diseases.
In a process that historian Lisa Brooks calls ""the deed game"", colonists acquired an increasing amount of land from Indian tribes through debt, fraudulent purchases and a variety of other methods. Springfield settler Samuel Marshfield took so much land from the inhabitants of Agawam that they had “little left to plant on,” to the point that the Massachusetts General Court stepped in and forced Marshfield to allocate them 15 acres. Native people began to construct and gather in palisaded “forts” - structures that were not necessary beforehand. The Agawam fort outside of Springfield was on Long Hill, although it is commonly (incorrectly) believed that it stood in a modern-day park called “King Philip’s Stockade.” These sites were excavated in the 19th and 20th centuries by anthropologists, who, as previously noted, took cultural objects and human remains and displayed them for years in area museums. With the passage of the Native American Graves Protection and Repatriation Act (NAGPRA) in 1990, a long process of repatriation began.
Tensions between the colonists (including those living in Sprinfield) and surrounding Indian tribes, which had already been poor for some time, continued to deteriorate in the years preceding the outbreak of King Philip's War. Colonial encroachment on Indian lands, combined with the decimation of the native population from European diseases, led to increasing Native resentment and hostility towards the colonists. Though some Indians became integrated into colonial society, with many being employed in white households, numerous pieces of legislation were passed which prevented Indians from marrying settlers and staying in colonial settlements after dark, while colonists were prevented from living among the Indians."
17th century -> King Philip's War,"Wamsutta's brother, Chief Metacomet (known to inhabitants of Springfield as ""Philip,"") began a war against colonial expansion in New England which spread across the region. As the conflict grew in its initial months, colonists throughout Western Massachusetts became deeply concerned with maintaining the loyalty of ""their Indians."" The Agawams cooperated, even providing valuable intelligence to the colonists.
In August 1675, a group of colonists in Hadley demanded the disarming of a “fort” of Nonotuck Indians. Unwilling to relinquish their weapons, they left on the night of August 25. A hundred colonists pursued them, catching up to them at the foot of Sugarloaf Hill, which was a sacred space for the Nonotucks called the Great Beaver. The colonists attacked, but the Nonotucks forced them to withdraw and were able to keep moving. The shedding of Native blood on sacred land was an attack on their entire kinship network, a reality whose implications were not lost to John Pynchon. He forced the Agawams of Long Hill to send hostages down to Hartford, in a move that he hoped would prevent the Agawam people from fighting alongside their kin. These efforts did not succeed.
In October 1675, warriors from other villages joined the Agawams at their village at Long Hill, preparing for one of the largest battles in King Philip's War. The historian Charles Barrows speculates that prior to carrying out the attack, they sent messengers to Hartford to encourage facilitate the escape of the Agawam hostages being held there. Possibly because these members, a Native man named Toto, who lived between Springfield and Hartford in Windsor and was connected to the Wolcott family, learned of and warned the colonists of Springfield about the impending attack.
On October 5, 1675, despite the advance warning, during the Siege of Springfield, 45 of Springfield's 60 houses were burned to the ground, as were the grist and saw mills belonging to village leader John Pynchon, which became smoldering ruins. Following the Siege of Springfield, serious thought was given to abandoning the village of Springfield and defecting to nearby towns; however, residents of Springfield endured the winter of 1675 under siege conditions. During that winter, Captain Miles Morgan's block-house became Springfield's fortress. It held-out until messengers had been despatched to Hadley, after which thirty-six men (the standing army of the Massachusetts Bay Colony), under command of Captain Samuel Appleton, marched to Springfield and raised the siege. Today, a large bronze statue of Morgan, who lost his son Pelatiah and son-in-law Edmund Prinrideyes in King Philip's War, stands in Springfield's Court Square, showing him in huntsman's dress with a rifle over his shoulder.
During King Philip's War, over 800 settlers were killed and approximately 8,000 Natives were killed, enslaved, or made refugees. Some histories mark the end of the war with the death of Metacom in the summer of 1676, however the conflict extended into present-day Maine, where the Wabanakis succuesfully managed to persuade the colonists to sign a truce after a period of conflict.
Following the war, the greater part of the Native American population left Western Massachusetts behind, although land cessions from Native people to the  colonists continued into the 1680's. Many native refugees of the conflict joined the Wabanaki in the north, where their descendants remain today. Native warriors returned to Western Massachusetts alongside the French during the Seven Years' War, and oral histories recall Abenaki visitors to Deerfield as recently as the 1830s.
Today, it is claimed that King Philip incited the Agawam Indians into the attack, on a hilltop now known as King Philip's Stockade. It is a Springfield city park that offers excellent views of the Connecticut River, city skyline, picnic pavilions, and a statue depicting the famous Windsor Indian who tried to warn the residents of Springfield of impending danger. The actual location of the stockaded Indian village is about a mile north, off Longhill Street, on a bluff overlooking the river. In 2005, a group of Native people from the Nipmuc Nation in Worcester performed a rededication ceremony of the ""Stockade."""
18th century -> The Springfield Armory,"Then as now, a major crossroads, during the 1770s, George Washington selected a high bluff in Springfield as the site of the U.S. National Armory. Washington selected Springfield for its centrality to important American cities and resources, its easy access to the Connecticut River and because, as today, the city served as the nexus for well-traveled roads. Washington's officer Henry Knox noted that Springfield was far enough upstream on the Connecticut River to guard against all but the most aggressive sea attacks. He concluded that “the plain just above Springfield is perhaps one of the most proper spots on every account” for the location of a National Arsenal. During the War of Independence, the arsenal at Springfield provided supplies and equipment for the American forces. At that time, the arsenal stored muskets, cannons, and other weapons; it also produced paper cartridges. Barracks, shops, storehouses, and a magazine were built, but no arms were manufactured. After the war the government retained the facility to store arms for future needs.
By the 1780s, the Arsenal was the United States' largest ammunition and weapons depot, which made it the logical focal point for Shays' Rebellion (see below). On the recommendations of then U.S. President George Washington, Congress formally established the Springfield Armory in 1794. In 1795, the Springfield Armory produced the first American-made musket, and during that year, produced 245 muskets. Until its closing in 1968, the Armory developed and produced a majority of the arms that served American soldiers in the nation's successful wars. Its presence also set Springfield on the path of industrial innovation that would result in the city becoming known as the ""City of Progress""  and later as the ""City of Firsts.""
The term Springfield Rifle may refer to any sort of arms produced by the Springfield Armory for the United States armed forces. Other famous arms invented in Springfield include the Repeating Pistol, and the Semi-automatic M1 Garand.
The 55 acres (220,000 m2) within the Armory's famous ornamental cast-iron fence are now administered by Springfield Technical Community College and the National Park Service. Most of the buildings were erected during the 19th century, with the oldest dating from 1808. The complex reflects the Armory commanders’ goal of creating an institution with dignity and architectural integrity worthy of the increasing strength of the federal government."
18th century -> Shays' Rebellion -> Court at Springfield shut down by angry mob,"In July 1786, a diverse group of Western Massachusetts gentlemen, farmers, and war veterans – often characterized as ""yeoman farmers"" by the Massachusetts and Federal governments, convened in Southampton, Massachusetts, to write-up a list of grievances with the 1780 Massachusetts State Constitution. Among, the conventioneers was William Pynchon, the voice of Springfield's – and the Connecticut River Valley's – most powerful family. The convention produced twenty-one articles – 17 were grievances, necessitating radical changes to Massachusetts' State Constitution. They included moving the Massachusetts State Legislature out of Boston to a more central location, where Boston's mercantile elite could no longer control the state government for its own financial gain; abolishing the Massachusetts State Senate, which was dominated by Boston's merchants and was in essence a redundant given that Massachusetts already had a State Legislature that dealt with similar issues; and revising election rules so that State Legislators would be held accountable yearly via elections. Grievances were also voiced about Massachusetts' excessively complex, seemingly money-driven court system and the scarcity of paper money to pay state taxes.
Rather than address the Southampton Convention's grievances, both houses of the Massachusetts State Legislature went on vacation. After this, ""Regulators"" began gathering in mobs of thousands, forcing the closure of Massachusetts' county courts. The Regulators shut down court proceedings in Northampton, Worcester, Concord, Taunton, Great Barrington, and then finally, even the Supreme Judicial Court in Springfield.
Massachusetts' Governor Bowdoin – along with Boston's former patriots, like Samuel Adams, who had, it seemed, lost touch with common people – were zealously unsympathetic to the Regulators' cause. Samuel Adams wanted the Regulators ""put to death immediately."" In response, Governor Bowdoin dispatched a militia financed by Boston merchants led by former Revolutionary War General Benjamin Lincoln, as well as a militia of 900 men led by General William Shepard to protect Springfield. The militia members, however, generally sympathized with the Regulators and more often than not, defected to the Regulators rather than remain with Massachusetts' militia. News of the Rebellion in Western Massachusetts reached the Continental Congress in late 1786. The Congress authorized troops to put down the rebellion; however, the government insisted that it was for fighting Indians in Ohio. In the Massachusetts State Legislature, Elbridge Gerry noted that the 'fighting Indians in Ohio' excuse was ""laughable."""
18th century -> Shays' Rebellion -> The Battle of the U.S. Arsenal at Springfield,"By January 1787, thousands of men from Western Massachusetts, Eastern New York, Vermont, and Connecticut had joined the Regulators; however, many were scattered across the expanse of Western Massachusetts. On January 25, 1787, three major Regulator armies were coalescing on Springfield in attempt to overtake the U.S. Federal Arsenal at Springfield. The armies were commanded by, respectively, Daniel Shays, whose army was camped in nearby Palmer, Massachusetts; Luke Day, whose army was camped across the Connecticut River in West Springfield, Massachusetts; and Eli Parsons, whose army was camped just north of Springfield in Chicopee, Massachusetts. The plan for commandeering the Arsenal at Springfield was for a three-pronged attack on January 25, 1787; however, the day before the scheduled attack, General Luke Day unilaterally postponed the attack to January 26, 1787. Day sent a note postponing the attack to both Shays and Parsons; however, it never reached them.
On January 25, 1787, Shays's and Parson's armies approached the Arsenal at Springfield expecting Day's army to back them up. General William Shepard's Massachusetts militia – which had been withered by defections to the Regulators – was already inside the Arsenal. General Shepard had requested permission from U.S. Secretary of Defense Henry Knox to use the weaponry in the Arsenal, because technically its firepower belonged to the United States, and not the Commonwealth of Massachusetts. Secretary of War Henry Knox denied the request on the grounds that it required Congressional approval and that Congress was out of session; however, Shepard used the Arsenal's weapons anyway.
When Shays, Parsons, and their forces neared the Arsenal, they found Shepard's militia waiting for them – and they were baffled by the location of Luke Day's army. Shepard ordered a warning shot. Two cannons were fired directly into Shays's men. Four of the Shaysites were killed, and thirty were immediately wounded. No musket fire took place. The rear of Shays's army ran, leaving his Captain James White ""casting a look of scorn before and behind,"" and then fled. Without reinforcements from Day, the rebels were unsuccessful in taking the Springfield Arsenal.
The militia captured many of the rebels on February 4 in Petersham, Massachusetts. Over the course of the next several weeks, the rebels were dispersed; however, skirmishes continued for approximately a year thereafter.
Governor Bowdoin declared that Americans would descend into ""a state of anarchy, confusion, and slavery"" unless the rule of the law was upheld. Shays's Rebellion, however, was – like American Revolution – an armed uprising against a rule of law perceived to be unjust. Ultimately, Shays's Rebellions' legacy is the United States Constitution."
19th century -> The City of Progress,"The City of Springfield, and, in particular, the Springfield Armory played an important role in the early Industrial Revolution. As of 2011, Springfield is nicknamed The City of Firsts; however, throughout the 19th and early 20th centuries, its nickname was The City of Progress. Throughout its history, Springfield has been a center of commercial invention, ideological progress, and technological innovation. For example, in 1819, inventor Thomas Blanchard and his lathe led to the uses of interchangeable parts and assembly line mass production, which went on to influence the entire world – while originally making arms production at The Springfield Armory faster and less expensive. Blanchard – and Springfield – are credited with the discovery of the assembly line manufacturing process. Blanchard also invented the first modern car in Springfield, a ""horseless carriage"" powered by steam.
The first American-English dictionary was produced in Springfield in 1806 by the company now known as Merriam Webster. Merriam Webster continues to maintain its worldwide headquarters in Springfield, just north of the Springfield Armory.
In Springfield, ""The City of Progress,"" many products were invented that are still popular and necessary today. For example, in 1844, Charles Goodyear perfected and patented vulcanized rubber at his factory in Springfield. (The automobile had not yet been invented, so Goodyear patented his rubber stamp rather than tires, for which he later became known). In 1856, the world's first-ever adjustable monkey wrench was invented in Springfield. In 1873, America's first postcard was invented in Springfield by the Morgan Envelope Factory. Also, America's first horse show and dog show were both produced in Springfield – 1853 and 1875, respectively.
Well known for it “firsts,"" Springfield also has the distinction of being the last New England city to free another state's slave. In Massachusetts, the cruel institution was outlawed by 1783, in a court decision based on the 1780 Massachusetts Constitution. In 1808, a man from New York – where slavery, at the time, was legal – came to Springfield demanding the return of his escaped slave: a woman named Jenny who had been living in Springfield for several years. In a show of support for abolitionism, the citizens of Springfield, among them Bezaleel Howard, raised enough money to buy Jenny's freedom from the New Yorker. Jenny lived a free woman in Springfield thereafter.
John Brown, the celebrated abolitionist and hero of John Brown's raid on Harpers Ferry, became a national leader in the abolitionist movement while living in Springfield. Indeed, Springfield's role in the abolitionist movement was far greater than the city's population at the time, (approximately 20,000 before the separation of Chicopee). In 1836, Springfield's American Colonization Society was its first radical abolitionist group. Nearly all Springfielders – from its wealthiest merchants to its influential newspaper publisher – supported abolitionism. In 1846, Brown moved into this progressive climate and set up a wool commission. Brown began attending church services at the traditionally black Sanford Street Church (now St. John's Congregational Church.) In Springfield, Brown spoke with Frederick Douglass and Sojourner Truth, while learning about the successes of Springfield's Underground Railroad. Also, in Springfield, Brown met many of the contacts he would need in later years to fund his work in Bleeding Kansas. In 1850, in response to the passage of the Fugitive Slave Act, John Brown formed his first militant anti-slavery organization in Springfield: The League of Gileadites. Brown founded the group by saying, ""Nothing so charms the American people as personal bravery. [Blacks] would have ten times the number [of whites friends than] they now have were they but half as much in earnest to secure their dearest rights as they are to ape the follies and extravagances of their white neighbors..."" The League of Gileadites protected slaves who escaped to Springfield from slaver-catchers. After the foundation of Brown's organization in 1850, a slave was never again ""captured"" in the city. As of 2011, St. John's Congregational Church – one of the Northeast's most prominent black congregations, now celebrating its 167th year in existence – still displays John Brown's Bible.
Even following the Civil War, Springfield remained a locus of early black culture, as the place where Irvine Garland Penn's The Afro-American Press and Its Editors was first published in 1891. Among the notable residents of the city was Primus P. Mason, a real estate investor of the city for whom Mason Square is so named, who donated his estate to found the Mason-Wright Retirement Home. In his book Efforts for Social Betterment Among Negro Americans W.E.B. DuBois described Mason as ""one of the chief Negro Philanthropists of our time"" for his creation of what Mason himself wrote in his will of ""a place where old men that are worthy may feel at home"".
In 1852, Springfield was chartered as a city; however, only after decades of debate, which, in 1848, resulted in the partitioning off of the northern part of Springfield into Chicopee, Massachusetts – in order to reduce Springfield's land and population. The partition of Chicopee from Springfield deprived Springfield of approximately half of its territory and approximately two-thirds of its population. To this day, the two cities of Springfield and Chicopee have relatively small land areas and remain separate. Springfield's first mayor was Caleb Rice, who was also the first President of MassMutual Life Insurance Company. As of 2011, the MassMutual Life Insurance Company, headquartered in Springfield, is the second wealthiest company from Massachusetts listed in the Fortune 100.

Wason Manufacturing Company of Springfield – one of the United States' first makers of railway passenger coach equipment – produced America's first sleeping car in 1857, (also known as a Pullman Car). On May 2, 1849, the Springfield Railroad was chartered to build from Springfield to the Connecticut state line. By the 1870s the endeavor had become the Springfield and New London Railroad.
In 1855, the formation of the Republican Party was championed by Samuel Bowles III, publisher of the influential Springfield daily newspaper, The Republican. The Republican Party took its name from Bowles' newspaper. On Friday, September 21, 1855, the headline in The Republican read: “The Child is Born!” This marked the birth of the Republican Party. By 1858, the Republicans had taken control of many Northern States' governments. In 1860, Bowles was on the train to the Republican convention in Chicago where his friend, Springfield lawyer George Ashmun, was elected chairman of the convention that would eventually nominate Abraham Lincoln for president.
In 1856, Horace Smith and Daniel B. Wesson formed Smith & Wesson to manufacture revolvers. Smith & Wesson has gone on to become the largest and, it can be argued, the most famous gun manufacturer in the world. The company's headquarters remains in Springfield and as of 2011, employs over 1200 workers.

By 1870 the expansion of industry had created the opportunity for the creation of a trolley system; the Springfield Street Railway began horsecar service on March 10, 1870, followed by its first electric line in Forest Park two decades later on June 6, 1890. By 1905 the city had more track than New York City at that time, and the lines drove the success of suburbs like McKnight as workers began commuting further distances.
On September 20, 1893, Springfielders Charles and Frank Duryea built and then road-tested the first-ever American, gasoline-powered car in Springfield. The Duryea Motor Wagon was built on the third floor of the Stacy Building in Springfield, and first publicly road-tested on Howard Bemis's farm. In 1895, the Duryea Motor Wagon won America's first-ever road race – a 54-mile (87 km) race from Chicago to Evanston, Illinois. In 1896, the Duryea Motor Wagon Company became the first company to manufacture and sell gasoline-powered automobiles. The company's motto was ""there is no better motorcar."" Immediately, Duryeas were purchased by luminaries of the times, such as George Vanderbilt. Two months after buying one of the world's first Duryeas, New York City motorist Henry Wells hit a bicyclist – the rider suffered a broken leg, Wells spent a night in jail – and that was Springfield's peripheral role in the first-ever automobile accident.
In 1899, the Springfield Ethnological and Natural History Museum (now the Springfield Science Museum) opened in its new building on October 16, 1899. Prior to this, the museum had existed as a curiosities collection established in December 1859 in City Hall, later hosted at the City Library beginning in 1871."
