section,text
History -> Plymouth Colony,"In December 1620, a group of English religious Separatists, later referred to as ""the Pilgrims"", established Plymouth Colony just to the south of Massachusetts Bay, seeking to preserve their cultural identity and attain religious freedom. Plymouth's colonists faced great hardships and earned few profits for their investors, who sold their interests to them in 1627. Edward Winslow and William Bradford were two of the colony's leaders and were likely the authors of a work published in England in 1622 called Mourt's Relation. This book in some ways resembles a promotional tract intended to encourage further immigration. Plymouth Colony would remain separate from Massachusetts Bay Colony until the creation of the Province of Massachusetts Bay."
History -> Wessagusett Colony,"There were other attempts at colonies more closely tied to England in 1623 and 1624 at Weymouth, Massachusetts. Thomas Weston's Wessagusset Colony failed in under a year. An effort by Robert Gorges to establish an overarching civil and religious colonial structure for New England based in the same location likewise failed and most of the settlers left. Those families who remained after the departure of Gorges formed a permanent settlement the oldest in what would become Massachusetts Bay Colony."
History -> Cape Ann settlement,"In 1623, the Plymouth Council for New England, the successor to the Plymouth Company, established a small fishing village at Cape Ann under the supervision of the Dorchester Company, with Thomas Gardner as its overseer. This company was originally organized through the efforts of Puritan minister John White (1575–1648) of Dorchester, in the English county of Dorset. White has been called ""the father of the Massachusetts Colony"" because of his influence in establishing this settlement, even though he never emigrated. The Cape Ann settlement was not profitable, and the financial backers of the Dorchester Company terminated their support by the end of 1625. Their settlement was abandoned at present-day Gloucester, but a few settlers remained in the area, including Roger Conant, establishing a settlement a little further south at what is now Salem, near the village of the Naumkeag tribe."
History -> Legal formation of the colony,"Archbishop William Laud was a favorite advisor of King Charles I and a dedicated Anglican, and he sought to suppress the religious practices of Puritans and other nonconforming beliefs in England. The persecution of many Puritans in the 1620s led them to believe that religious reform would not be possible while Charles was king, and many decided to seek a new life in the New World. 
John White continued to seek funding for a colony. On 19 March 1628 [O.S. 1627], the Council for New England issued a land grant to a new group of investors that included a few from the Dorchester Company. The land grant was for territory between the Charles River and Merrimack River that extended from ""the Atlantick and westerne sea and ocean on the east parte, to the South sea on the west parte"". The company to whom the grant was sold was styled ""The New England Company for a Plantation in Massachusetts Bay"". The company elected Matthew Cradock as its first governor and immediately began organizing provisions and recruiting settlers.
The company sent approximately 100 new settlers with provisions to join Conant in 1628, led by Governor's Assistant John Endecott, one of the grantees. The next year, Naumkeag was renamed Salem and fortified by another 300 settlers led by Rev. Francis Higginson, one of the first ministers of the settlement. The first winters were difficult, with colonists struggling against starvation and disease, resulting in numerous deaths.
The company leaders sought a royal charter for the colony because they were concerned about the legality of conflicting land claims given to several companies (including the New England Company) for the little-known territories of the New World, and because of the increasing number of Puritans who wanted to join them. Charles granted the new charter on 4 March 1629 [O.S. 1628], superseding the land grant and establishing a legal basis for the new English colony at Massachusetts, appointing Endecott as governor. It was not apparent whether Charles knew that the company was meant to support the Puritan emigration, and he was likely left to assume that it was purely for business purposes, as was the custom. The charter omitted a significant clause: the location for the annual stockholders' meeting. Charles dissolved Parliament in 1629, whereupon the company's directors met to consider the possibility of moving the company's seat of governance to the colony. This was followed later that year by the Cambridge Agreement, in which a group of investors agreed to emigrate and work to buy out others who would not emigrate.
The Massachusetts Bay Colony became the first English chartered colony whose board of governors did not reside in England. This independence helped the settlers to maintain their Puritan religious practices without interference from the king, Archbishop Laud, or the Anglican Church of England. The charter remained in force for 55 years; Charles II revoked it in 1684. Parliament passed legislation collectively called the Navigation Acts which attempted to prevent the colonists from trading with any nation other than England. Colonial resistance to those acts led King Charles to revoke the Massachusetts charter and consolidate all the colonies in New England, New York, and New Jersey into the Dominion of New England.
Territory claimed but never administered by the colonial government extended theoretically as far west as the Pacific Ocean. The Dutch colony of New Netherland disputed many of its territorial claims, arguing that they held rights to land beyond Rhode Island up to the western side of Cape Cod, under the jurisdiction of Plymouth Colony at the time."
History -> Colonial history,"A flotilla of ships sailed from England beginning in April 1630, sometimes known as the Winthrop Fleet. They began arriving at Salem in June and carried more than 700 colonists, Governor John Winthrop, and the colonial charter. Winthrop delivered his famous sermon ""City upon a Hill"" either before or during the voyage.
Over the next ten years, about 20,000 Puritans emigrated from England to Massachusetts and the neighboring colonies during the Great Migration. Many ministers reacted to the repressive religious policies of England, making the trip with their congregations, among whom were John Cotton, Roger Williams, Thomas Hooker, and others. Religious divisions and the need for additional land prompted a number of new settlements that resulted in Connecticut Colony (by Hooker) and the Colony of Rhode Island and Providence Plantations (by Williams and others). Minister John Wheelwright was banished after the Antinomian controversy (like Anne Hutchinson), and he moved north to found Exeter, New Hampshire.
The advent of the Wars of the Three Kingdoms in 1639 brought a halt to major migration, and a significant number of men returned to England to fight in the war. Massachusetts authorities were sympathetic to the Parliamentary cause and had generally positive relationships with the governments of the English Commonwealth and the Protectorate of Oliver Cromwell. The colony's economy began to diversify in the 1640s, as the fur trading, lumber, and fishing industries found markets in Europe and the West Indies, and the colony's shipbuilding industry developed. The growth of a generation of people born in the colony and the rise of a merchant class began to slowly change the political and cultural landscape of the colony, even though its governance continued to be dominated by relatively conservative Puritans.
Colonial support for the Commonwealth created tension after the throne was restored to Charles II in 1660. Charles sought to extend royal influence over the colonies, which Massachusetts resisted along with the other colonies. For example, the Massachusetts Bay colony repeatedly refused requests by Charles and his agents to allow the Church of England to become established, and the New England colonies generally resisted the Navigation Acts, laws that restricted colonial trade to England alone.
The New England colonies were ravaged by King Philip's War (1675–76), when the Indigenous peoples of southern New England rose up against the colonists and were decisively defeated, although at great cost in life to all concerned. The Massachusetts frontier was particularly hard hit: several communities in the Connecticut and Swift River valleys were abandoned. By the end of the war, most of the Indigenous population of southern New England made peace treaties with the colonists."
History -> Confrontation with England -> Revocation of the charter,"Two delegates from Massachusetts Bay were sent to London to meet with the Lords of Trade when the crown threatened the colony with a quo warranto. The Lords demanded a supplementary charter to alleviate problems, but the delegates were under orders that they could not negotiate any change with the Charter and this enraged the Lords. The quo warranto was issued immediately. The King feared that this would stir problems within the colony and attempted to reassure the colonists that their private interests would not be infringed upon. The declaration did create problems, however, and the confrontations increased between the moderates and conservatives. The moderates controlled the office of the Governor and the Council of Assistants, and the conservatives controlled the Assembly of Deputies. This political turmoil ended in a compromise with the deputies voting to allow the delegates in London to negotiate and defend the colonial charter.
When the warrant arrived in Boston, the General Court voted on what course the colony should take. The two options were to immediately submit to royal authority and dismantle their government or to wait for the crown to revoke their charter and install a new governmental system. The General Court decided to wait out the crown. They lacked a legal basis to continue their government, yet it remained intact until its official revocation in 1686."
History -> Unifications and restoration,"James II of England united Massachusetts with the other New England colonies in the Dominion of New England in 1686. The dominion was governed by Sir Edmund Andros without any local representation beyond his own hand-picked councillors, and it was extremely unpopular throughout New England. Massachusetts authorities arrested Andros in April 1689 after the 1688 Glorious Revolution in England, and they re-established government under the forms of the vacated charter. However, dissenters from the Puritan rule argued that the government lacked a proper constitutional foundation, and some of its actions were resisted on that basis.
King William III issued a charter in 1691, despite efforts by Massachusetts agents to revive the old colonial charter. It was chiefly negotiated by Increase Mather in his role as the colony's ambassador-extraordinary, unifying Massachusetts Bay with Plymouth Colony, Martha's Vineyard, Nantucket, and territories that roughly encompass Maine, New Brunswick, and Nova Scotia to form the Province of Massachusetts Bay. This new charter additionally extended voting rights to non-Puritans, an outcome that Mather had tried to avoid."
Life -> Marriage and family life,"Many of the early colonists who migrated from England came with some or all of their family. It was expected that individuals would marry fairly young and begin producing offspring. Infant mortality rates were comparatively low, as were instances of childhood death. Men who lost their wives often remarried fairly quickly, especially if they had children needing care. Older widows would also sometimes marry for financial security. It was also normal for older widowed parents to live with one of their children. Due to the Puritan perception of marriage as a civil union, divorce did sometimes occur and could be pursued by both genders.
Sexual activity was expected to be confined to marriage. Sex outside of marriage was considered fornication if neither partner was married, and adultery if one or both were married to someone else. Fornication was generally punished by fines and pressure to marry; a woman who gave birth to an illegitimate child could also be fined. Adultery and rape were more serious crimes, and both were punishable by death. Rape, however, required more than one witness, and was therefore rarely prosecuted. Sexual activity between men was called sodomy, and was also punishable by death.
Within the marriage, the husband was typically responsible for supplying the family's financial needs, although it was not uncommon for women to work in the fields and to perform some home labor (for example, spinning thread or weaving cloth) to supplement the family income. Women were almost exclusively responsible for seeing to the welfare of the children.
Children were baptized at the local meeting house within a week of being born. The mother was usually not present because she was still recovering from the birth, and the child's name was usually chosen by the father. Names were propagated within the family, and names would be reused when infants died. If an adult died without issue, his (or her) name could be carried on when the siblings of the deceased named children in his or her memory.
Most children received some form of schooling, something which the colony's founders believed to be important for forming a proper relationship with God. Towns were obligated to provide education for their children, which was usually satisfied by hiring a teacher of some sort. The quality of these instructors varied, from minimally educated local people to Harvard-educated ministers."
Government -> Laws and judiciary,"During 1641, the colony formally adopted the Massachusetts Body of Liberties, which Nathaniel Ward compiled. This document consisted of 100 civil and criminal laws based upon the social sanctions recorded in the Bible. These laws formed the nucleus of colonial legislation until independence and contained some provisions later incorporated into the United States Constitution, such as the ideas of equal protection and double jeopardy.
Massachusetts Bay was the first colony to formalize laws concerning slavery with provision 91 of the Massachusetts Body of Liberties which developed protections for people unable to perform public service. Another law was developed to protect married women, children, and people with mental disabilities from making financial decisions. Colonial law differentiated among types of mental disabilities, classifying them as ""distracted persons"", ""idiots"", and ""lunaticks"". In 1693, ""poor laws"" enabled communities to use the estates of people with disabilities to defer the cost of community support of those individuals. Many of these laws remained until the American Revolution.
Many behaviors were frowned upon culturally which modern sensibilities might consider relatively trivial actions, and some led to criminal prosecution. These included sleeping during church services, playing cards, and engaging in any number of activities on the Sabbath. Conversely, there were laws which reflected attitudes that are still endorsed by popular sensibilities in the 21st century US, against things such as smoking tobacco, abusing one's mother-in-law, profane dancing, and pulling hair. Children, newcomers, and people with disabilities were exempt from punishment for such infractions.
The colony's council of assistants sat as the final court of appeal and as the principal court for criminal issues of ""life, limb, or banishment"" and civil issues where the damages exceeded £100. Lesser offenses were heard in county courts or by commissioners appointed for hearing minor disputes. The lower courts were also responsible for issuing licenses and for matters such as probate. Juries were authorized to decide questions of both fact and law, although the court could decide if a jury failed to reach a decision. Sentences for offenses included fines and corporal punishments such as whipping and sitting in the stocks, with the punishments of banishment from the colony and death by hanging reserved for the most serious offenses. Evidence was sometimes based on hearsay and superstition. For example, the ""ordeal of touch"" was used in 1646 in which someone accused of murder is forced to touch the dead body; if blood appears, the accused is deemed guilty. This was used to convict and execute a woman accused of murdering her newborn child. Bodies of individuals hanged for piracy were sometimes gibbeted (publicly displayed) on harbor islands visible to seagoing vessels."
Government -> Notable criminal prosecutions,"One of the first to be executed in the colony was Dorothy Talbye, who was apparently delusional. She was hanged in 1638 for murdering her daughter, as the common law of Massachusetts made no distinction at the time between insanity or mental illness and criminal behavior. Midwife Margaret Jones was convicted of being a witch and hanged in 1648 after the condition of patients allegedly worsened in her care.
The colonial leadership was the most active in New England in the persecution of Quakers. In 1660, English Quaker Mary Dyer was hanged in Boston for repeatedly defying a law banning Quakers from the colony. Dyer was one of the four executed Quakers known as the Boston martyrs. Executions ceased in 1661 when King Charles II explicitly forbade Massachusetts from executing anyone for professing Quakerism."
