section,text
History -> Enslavement of indigenous peoples,"The European enslavement of indigenous peoples in New England began with English sailors travelling though the region in the 16th and early 17th centuries, decades before the establishment of the Massachusetts Bay Colony. In 1605, James Rosier described in detail how he and his shipmates captured five Wabanaki men in what is today Maine: ""it was as much as five or sixe of us could doe to get them into the light horseman. For they were strong and so naked as our best hold was by their long haire on their heads."" Rosier and his shipmates took the captives to London, where they apparently hoped to instruct them in English and extract knowledge of Wabanaki government that might give them an advantage against their European competitors in the race to establish colonies in North America. Nine years later, in 1614, English sea captain Thomas Hunt captured twenty-four Native Americans during a voyage to New England with John Smith. Plymouth Governor William Bradford later recalled that Hunt's goal was ""to sell them for slaves in Spaine."" One of Hunt's captives, a man named Tisquantum, defied this goal and eventually found himself in England, where he was able to learn English, return to North America, and famously assist the Plymouth colonists in 1621.
Following the establishment of Plymouth Colony in 1620 and the Massachusetts Bay Colony in 1630, the colonists quickly incorporated the practice of enslaving indigenous people into the economic, social, and political fabric of New England. In the first decades of English colonization, the primary mode of enslavement was the taking captives during war. This practice became especially prevalent during the Pequot War from 1636 to 1638. In the early days of the fighting, colonists brought Pequot captives from various small conflicts to the Massachusetts General Court, where they declared them officially enslaved. In an early example, the Court ordered in October 1636 that a Pequot person named Chausop ""bee kept a slave for life to worke"" within the colony. As the fighting escalated and the number of captives increased, however, the colonists began trading in enslaved Pequots on a much greater scale. They ceased to rely on the General Court and adopted a more ad hoc approach, selling captives into slavery without a legal declaration. Prior to 1641, no statutes guided this emerging trade in indigenous slaves. Instead, as historian Margaret Newell has argued, the colonists acted in self-interest and justified their practice after the fact, by referring to existing European notions of a just war (a theory later codified in the Body of Liberties). As noted by American historian Wendy Warren in her 2016 work New England Bound: Slavery and Colonization in Early America, ""the movement of enslaved and captured people around the Atlantic world also was, by the seventeenth century, an accepted reality.""
The enslavement of the Pequots reached its apex in May 1637, when English colonists and their Mohegan and Narragansett allies attacked and massacred hundreds of Pequot men, women, and children near the Mystic River. The surviving captives, mostly women and children, were enslaved and divided amongst the victors and spread throughout region. The colonial militia took many captives directly, having been promised slaves as a reward for fighting. This resulted in a scramble to claim the most promising captives. Israel Stoughton hinted at the grotesque process in a letter to John Winthrop, the Governor of Massachusetts, in 1637: ""ther is one [Pequot]... that is the fairest and largest that I saw amongst them... it is my desire to have her for a servant.... Liftenant Davenport also desireth one, to witt a tall one that hath 3 strokes upon her stummach."" Captives not taken by individual militiamen were brought to Boston, where colonial leaders used them as field laborers and household servants, or sold them to English colonies in the Caribbean.
The enslavement of indigenous people in Massachusetts slowed in the decades after the Pequot War, but it rose to new heights during the violence surrounding King Philip's War in the mid-1670s. As English colonists mobilized militia forces against an indigenous coalition of Narragansett, Wampanoag, and Nipmuc communities, they returned to the now familiar tactic of capture and enslavement. According to historian Margaret Newell, the desire for captives formed a ""central preoccupation"" for the colonists, often leading to a further escalation of the conflict. On the indigenous side, the fear of enslavement and sale to sugar plantations in the Caribbean dissuaded participants from surrender and encouraged the weakened nations to continue fighting. Some young men told an interpreter near the end of the war in 1676 that they would be inclined to make peace, but they were confident they would be enslaved if they did: ""why shall wee have peace to bee made slaves, & either be kild or sent away to sea to Barbadoes... Let us live as long as wee can & die like men, & not live to bee enslaved."" Their fears proved well-founded. A few months later, in the fall of 1676, a ship named the Seaflower left Boston with 180 ""heathen... men, women and children"" who had been ""sentenced & [condemned] to Perpetuall Servitude & slavery."" As in the aftermath of the Pequot War, hundreds of captives—both combatants and non-combatants—were taken as slaves by the colonial militia, sold to Massachusetts households, or shipped abroad to pay the colonies' war debt.
The rate of indigenous slavery declined in Massachusetts as the violence of King Philip's War faded and the 18th century began, but the reliance on coerced labor did not end. While fewer Native Americans were formally enslaved via capture, colonial courts began sentencing indigenous residents in the colony to terms of involuntary servitude for alleged thefts, a failure to pay debts, or committing acts of violence. In the neighboring colony of Rhode Island, courts often seized indigenous children from mothers, who they deemed ""disorderly"", and offered them as indentured servants to colonists. While these various indenture contracts were definite in theory, abuses were common, terms were long, and involuntary servants with terms over two years could be sold and exchanged around the region."
History -> Importation of enslaved Africans,"While English colonists in Massachusetts were establishing a consistent trade in indigenous slaves in the 17th century, they also began purchasing enslaved Africans. These processes were deeply intertwined: in 1638, the slave ship Desire carried indigenous captives to the Caribbean for sale into slavery and returned with the first documented shipment of enslaved Africans in New England. This reciprocal trade continued throughout the 17th century, as merchants and colonial governments exported enslaved Native Americans and traded them for more desirable African laborers. Large slaving ships rarely sailed directly from Africa to Massachusetts, as they occasionally did to Charleston, South Carolina. Instead, merchant ships travelling between the port towns of Salem and Boston frequently returned with enslaved Africans. This continuous flow of enslaved laborers benefitted colonists by simultaneously removing indigenous populations and meeting expanding labor needs.
In addition to bringing enslaved Africans to New England, residents of Massachusetts and Plymouth also participated in the broader Atlantic slave trade. At least 19 voyages in the 17th century departed from New England, purchased or captured slaves in Africa, and carried them to the Caribbean for sale. While these slave traders usually sold the majority of their human cargo in the Caribbean, many brought small numbers back to New England. One Rhode Island merchant in 1717 reminded his brother of this profitable trade, writing: ""if you cannot sell all your slaves [in the West Indies] ... bring some of them home; I believe they will sell well.""
Given the sparse records, lack of a regulatory regime and general indifference to the presence of slavery, it is impossible to know exactly how many enslaved Africans were brought to Massachusetts throughout the colonial period. Gregory O'Malley has estimated that around 9,813 Africans were brought directly to New England between 1638 and 1770, in addition to 3,870 who arrived through the Caribbean, but this is a rough estimate. Regardless of the exact number, enslaved Africans certainly constituted a significant labor force and a notable portion of the community throughout the colonial period of Massachusetts history."
History -> Law 1641–1703,"In 1641, Massachusetts passed its Body of Liberties, which gave legal sanction to certain kinds of slavery.

There shall never be any bond slaverie, villinage or captivitie amongst us unless it be lawfull captives taken in just warres, and such strangers as willingly selle themselves or are sold to us. And these shall have all the liberties and Christian usages which the law of God established in Israel concerning such persons doeth morally require. This exempts none from servitude who shall be judged thereto by Authoritie.
Wiecek notes that the reference to ""strangers"" is derived from Leviticus 25: 39–55 and explains that they could be ruled and sold as slaves. For the Puritans and citizens of the colony, ""strangers"" would eventually mean Native Americans and Africans. Even though the Body of Liberties excluded many forms of slavery, it did recognize four legitimate bases of slavery. Slaves could legally be obtained if they were captives resulting from war, sold themselves into slavery, were purchased as slaves from elsewhere, or were sentenced to slavery through the governing authority. Whereas this made Massachusetts the first colony to authorize slavery through legislation, the Commonwealth made sure the law was resprected.  In 1645, on determining that the —nominally American— English ship Rainbow had brought to Mass. two kidnapped blacks, the court mandated that they be returned to Africa and that a letter of apology be delivered to their African community.  In 1670, Massachusetts made it legal for the children of slaves to be sold into bondage. By 1680, the colony had laws restricting the movements of blacks. A 1703 law required owners to post a bond for all slaves to protect towns in the case that a slave became indigent should the master refuse to continue caring for him or her."
History -> 18th century abolitionism -> Freedom suits,"Between 1764 and 1774, seventeen slaves appeared in Massachusetts courts to sue their owners for freedom. In 1766, John Adams' colleague Benjamin Kent won the first trial in the United States (and Massachusetts) to free a slave (Slew vs. Whipple). There were three other trials that are noteworthy, two civil and one criminal. All three took place during the American Revolutionary War, when thoughts about the equality of all people were frequently voiced, and especially after the new Massachusetts constitution was passed in 1780. The civil cases were Jennison v. Caldwell (for ""deprivation of the benefit of his servant, Walker""), apparently heard and decided first, and Quock Walker v. Jennison (for assault and battery), both heard by the Worcester County Court of Common Pleas on June 12, 1781.

Jennison v. Caldwell
A man named Jennison argued that one Caldwell had enticed away his employee Walker. The court found in his favor and awarded Jennison 25 pounds compensation.

Quock Walker v. Jennison
This 1781 case involved a slave named Quock Walker in Worcester County Court of Common Pleas. Chief Justice William Cushing instructed the jury:

As to the doctrine of slavery and the right of Christians to hold Africans in perpetual servitude, and sell and treat them as we do our horses and cattle, that (it is true) has been heretofore countenanced by the Province Laws formerly, but nowhere is it expressly enacted or established. It has been a usage – a usage which took its origin from the practice of some of the European nations, and the regulations of British government respecting the then Colonies, for the benefit of trade and wealth. But whatever sentiments have formerly prevailed in this particular or slid in upon us by the example of others, a different idea has taken place with the people of America, more favorable to the natural rights of mankind, and to that natural, innate desire of Liberty, with which Heaven (without regard to color, complexion, or shape of noses-features) has inspired all the human race. And upon this ground our Constitution of Government, by which the people of this Commonwealth have solemnly bound themselves, sets out with declaring that all men are born free and equal – and that every subject is entitled to liberty, and to have it guarded by the laws, as well as life and property – and in short is totally repugnant to the idea of being born slaves. This being the case, I think the idea of slavery is inconsistent with our own conduct and Constitution; and there can be no such thing as perpetual servitude of a rational creature, unless his liberty is forfeited by some criminal conduct or given up by personal consent or contract ...
The Walker case had been opened by the attorney to consider whether a previous master's promise to free Walker gave him a right to freedom after that master had died. Walker's lawyers argued that the concept of slavery was contrary to the Bible and the new Massachusetts Constitution (1780). The jury decided that Walker was a free man under the constitution and awarded him 50 pounds in damages.
Both decisions were appealed. Jennison's appeal of Walker's freedom was rejected in September 1781 by the Massachusetts Supreme Judicial Court, either because he failed to appear or because his lawyers did not submit the required court papers. The Caldwells won the other appeal; a jury concurred that Walker was a free man, and therefore the defendants were entitled to employ him.

Commonwealth v. Jennison
In September 1781, a third case was filed by the Attorney General against Jennison, Commonwealth v. Jennison, for criminal assault and battery of Walker. In his charge to the jury, Chief Justice William Cushing stated, ""Without resorting to implication in constructing the constitution, slavery is ... as effectively abolished as it can be by the granting of rights and privileges wholly incompatible and repugnant to its existence.""  This has been taken as setting the groundwork for the end of slavery in the state. On April 20, 1783, Jennison was found guilty and fined 40 shillings.

Aftermath of the trials
While Chief Justice Cushing's opinion in effect should have ended slavery in Massachusetts, the state never formally abolished slavery until the passage of the Thirteenth Amendment to the United States Constitution in 1865.  Some possible reasons for this are that state legislators were either unable or unwilling to address slave-owners' concerns about losing their financial ""investment"", and non-slave owning white citizens' concerns that if slavery were abolished, the freed slaves could become a burden on the community. Some even feared that escaped slaves from other states would flood Massachusetts.
The Massachusetts Supreme Court decisions in Walker v. Jennison and Commonwealth v. Jennison established the basis for ending slavery in Massachusetts on constitutional grounds, but no law or amendment to the state constitution was passed. Instead slavery gradually ended ""voluntarily"" in the state over the next decade.  The decisions in the Elizabeth Freeman and Quock Walker trials had removed its legal support and slavery was said to end by erosion. Some masters manumitted their slaves formally and arranged to pay them wages for continued labor. Other slaves were ""freed"" but were restricted as indentured servants for extended periods. By 1790, the federal census recorded no slaves in the state."
17th century -> Native inhabitants,"It is difficult to estimate the origins of human habitation in the Connecticut River Valley, but there are physical signs dating back at least 9,000 years. Pocumtuck tradition describes the creation of Lake Hitchcock in Deerfield by a giant beaver, which perhaps represents the action of a glacier that retracted at least 12,000 years ago. Various sites indicate millennia of fishing, horticulture, beaver-hunting, and burials. Excavations over the last 150 years have taken many human remains from old burial places, sending them to the collections of institutions such as UMASS Amherst. The passage of the Native American Graves and Repatriation Act in 1990 ordered museums across Western Mass and the country to repatriate these remains to Native peoples, an ongoing process.
The region was inhabited by several Algonkian-speaking Native American communities, culturally connected but distinguished by the place names they assigned to their respective communities: Agawam (low land), Woronco (in a circular way), Nonotuck (in the midst of the river), Pocumtuck (narrow, swift river), and Sokoki (separated from their neighbors). The modern-day Springfield metropolitan area was inhabited by the Agawam Indians. The Agawam, as well as other groups, belong the larger cultural category of Alongkian Indians.
In 1634, Dutch traders triggered a devastating smallpox epidemic in among the region's Native people. Governor Bradford of Massachusetts writes that in Windsor (the site of the Dutch trading post), ""of 1,000 of [the Indians] 150 of them died."" With so many dead, ""rot[ting] above ground for want of burial,"" English colonists were emboldened to attempt significant settlement of the region."
17th century -> Colonial settlement,"Puritan fur trader William Pynchon was an original settler of Roxbury, Massachusetts, a magistrate, and then assistant treasurer of the Massachusetts Bay Colony. In 1635, he commissioned a scouting expedition led by John Cable and John Woodcock to find the Connecticut River Valley's most suitable site for the dual purposes of agriculture and trading. The expedition traveled either across the inland Bay Path from Boston to Albany via Springfield or, equally likely, along the coast and northward from the mouth of the Connecticut River. It concluded at Agawam where the Westfield River meets the Connecticut River, across the Connecticut River from modern-day Springfield, the northernmost settlement on ""The Great River"" at that time. The region's numerous rivers and geological history have dictated that its soil is among the finest for farming in the Northeast.
Cable and Woodcock found the Pocomtuc (or perhaps Nipmuck) village of Agawam on the western bank of the Connecticut River. The land near the river was clear of trees due to burns by the Indians, and covered in nutrient-rich river silt from both floods and glacial Lake Hitchcock. Just south of the Westfield River, Cable and Woodcock constructed a pre-fabricated house in present-day Agawam, Massachusetts (at modern-day Pynchon Point.)
On May 15, 1636, Pynchon led a settlement expedition to be administered by the Connecticut Colony, which included Henry Smith (Pynchon's son-in-law), Jehu Burr, William Blake, Matthew Mitchell, Edmund Wood, Thomas Ufford, John Cable, and a Massachusett Indian translator named Ahaughton. Pynchon likely never learned the Algonkian language, making the help of Native interpreters crucial in learning about the land and dealing with its Native inhabitants. Dutch and Plymouth Colonists had been leapfrogging their way up ""the Great River,"" as far north as Windsor, Connecticut, attempting to establish its northernmost village to gain the greatest access to the region's raw materials. Pynchon selected a spot just north of Enfield Falls, the first spot on the Connecticut River where all travelers have to stop to negotiate a waterfall 32 feet (9.8 m) in height, and then transship their cargoes from ocean-going vessels to smaller shallops. By founding Springfield, Pynchon positioned himself as the northernmost trader on the Connecticut River. Near Enfield Falls, he erected a warehouse to store goods awaiting shipment, which is still called ""Warehouse Point"" to this day, located in East Windsor, Connecticut.
In 1636, Pynchon's party purchased land on both sides of Connecticut River from 18 tribesmen who lived at a palisade fort at the current site of Springfield's Longhill Street. The price paid was 18 hoes, 18 fathoms of wampum, 18 coats, 18 hatchets, and 18 knives. Ahaughton was a signatory, witness, and likely negotiator for the deed. The Indians retained foraging and hunting rights and the rights to their existing farmlands, and were granted the right to compensation if livestock owned by colonists ruined their corn crops. As is the case for many Indian deeds, it is dubious whether or not the Native signatories of the document possessed the political authority to sign on behalf of their tribes.
In 1636, the fledgling colonial settlement was named Agawam Plantation and administered by the Connecticut Colony, as opposed to the Massachusetts Bay Colony."
17th century -> Leaving Connecticut for Massachusetts,"In 1640 and 1641, two events took place that forever changed the political boundaries of the Connecticut River Valley. From its founding until that time, Springfield had been administered by Connecticut along with Connecticut's three other settlements: Wethersfield, Hartford, and Windsor. In the spring of 1640, grain became scarce and the Connecticut Colony's cattle were dying of starvation. The nearby Connecticut River Valley settlements of Windsor and Hartford (then called ""Newtown"") gave power to William Pynchon to buy corn for all three English settlements. If the natives would not sell their corn at market prices, then Pynchon was authorized to offer more money. The natives refused to sell their corn at market prices, and then later refused to sell it at what Pynchon deemed ""reasonable"" prices. Pynchon refused to buy it, believing it best not to broadcast the English colonists' weaknesses, and also wanting to keep market values steady.
Leading citizens of what would become Hartford were furious with Pynchon for not purchasing the grain. With Windsor's and Wethersfield's consent, the Connecticut Colony's three southern settlements commissioned Captain John Mason, notable for his leadership in the Pequot War (including the Mystic Massacre), to travel to Springfield with ""money in one hand and a sword in the other"" to acquire grain for their settlements. On reaching what would become Springfield, Mason threatened the Pocumtucs with war if they did not sell their corn at ""reasonable prices."" The Pocumtucs capitulated and ultimately sold the colonists corn; however, Mason's violent approach deepened Native distrust towards the colonists. Before leaving, Mason also upbraided Pynchon publicly, accusing Pynchon of sharp trading practices and of forcing the Pocumtucs to trade only with him because they feared him. (The three southern Connecticut Colony settlements were surrounded by different tribes than Springfield, i.e. the more warlike Pequots and Mohegans.)
Ultimately, in 1640, Pynchon and the planters of Agawam voted to separate themselves from the other river towns, removing themselves from the jurisdiction of Connecticut Colony. Looking to capitalize on Springfield's defection, the Massachusetts Bay Colony decided to reassert its jurisdiction over land bordering the Connecticut River, including Agawam.
Tensions between Springfield and Connecticut were exacerbated by one final confrontation in 1640. Hartford had been keeping a fort at the mouth of the Connecticut River at Old Saybrook, for protection against various tribes and the New Netherland Colony. After Springfield sided with the Massachusetts Bay Colony, Connecticut, demanded that Springfield's boats pay a toll when passing the Fort at Old Saybrook, (which, at the time, was not administered by the Connecticut Colony, but the short-lived Saybrook Colony.) Pynchon would have been agreeable to this if Springfield could have had representation at the Fort at Saybrook; however, Connecticut refused to allow Springfield a presence at the fort, and thus Pynchon instructed his boats to refuse to pay Connecticut's toll. When the Massachusetts Bay Colony heard about this controversy, it took Pynchon's side and immediately drafted a resolution that required Connecticut ships to pay a toll when entering Boston Harbor. Connecticut, which was then dependent largely on trade with Boston, immediately dropped its tax on Springfield.
When the dust finally settled, Pynchon was named magistrate of Agawam by the Massachusetts Bay Colony and, in honor of his importance, the settlement was renamed Springfield after his place of birth, in England. For decades, Springfield, which then included modern-day Westfield, was the westernmost settlement in Massachusetts.
In 1642, Massachusetts Bay commissioned a definable border to be drawn up, one of the first in what is now America. Led by Nathaniel Woodward and Solomon Saffery, the group left in a border crossing at the old Bissell's Ferry in Windsor, north of today's downtown Windsor and went into a line near what is currently U.S. Route 44. After the results were published, this line greatly benefited the Massachusetts Bay Colony. The towns of Suffield, Enfield, Somers, Stafford, and Granby were placed in the jurisdiction of Springfield lands. Connecticut protested the result, claiming that they didn't even walk but sailed by boat from the Charles River, around Cape Cod and went up to near Enfield Falls. This resulted in one of the longest running border disputes in American history."
"17th century -> Early ""firsts""","In 1645, 46 years before the Salem witch trials, Springfield experienced America's first accusations of witchcraft when Mary (Bliss) Parsons, wife of Cornet Joseph Parsons, accused a widow named Marshfield, who had moved from Windsor to Springfield, with witchcraft—an offense then punishable by death. For this, Mary Parsons was found guilty of slander.
In 1651, a different Mary Parsons was accused of witchcraft, and also of murdering her own child. In turn, Mary Parsons then accused her own husband, Hugh Parsons, of witchcraft. At America's first witch trial, both Mary and Hugh Parsons were found not guilty of witchcraft for want of satisfactory evidence. However, Mary was found guilty of murdering her own child, but died in prison in 1651, before her death sentence could be carried out.
William Pynchon was the New World's first commercial meat packer. In 1641, he began exporting barrels of salt-pork; however, in 1650 he became famous for writing the New World's first banned book, The Meritous Price of Our Redemption. In 1649, Pynchon found time to write the book which was published in London in 1650. Several copies made it back to the Massachusetts Bay Colony and its capital, Boston, which reacted with rage to Pynchon rather than with support. For his critical attitude toward Massachusetts' Calvinist Puritanism, Pynchon was accused of heresy, and his book was burned on the Boston Common. Only 4 known copies survived. By declaration of the Massachusetts General Court, in 1650, The Meritous Price of Our Redemption became the first-ever banned book in the New World. In 1651, Pynchon was accused of heresy in Boston – at the same meeting of the Massachusetts General Court where Springfielder Mary Parsons was sentenced to death. Standing to lose all of his land-holdings – the largest in the Connecticut River Valley – William Pynchon transferred ownership to his son, John and, in 1652, moved back to England with his friend, the Reverend Moxon.
William's son, John Pynchon, and his brother-in-law, Elizur Holyoke, quickly took on the settlement's leadership roles. They began moving Springfield away from the diminishing fur trade into agricultural pursuits. In 1655, John Pynchon launched America's first cattle drive, prodding a herd from Springfield to Boston along the old Bay Path Trail.
Purchases of large swaths of land from the Indians continued throughout the 17th century, enlarging Springfield's territory and forming other colonial towns elsewhere in the Connecticut River Valley. Westfield was the westernmost settlement of Massachusetts Bay Colony until 1725, and Springfield was, as it remains today, the colony's most populous and important western settlement. Over decades and centuries, portions of Springfield were partitioned off to form neighboring towns; however, throughout the centuries, Springfield has remained the region's most populous and most important city.
Due to imprecision in surveying colonial borders, Springfield became embroiled in a boundary dispute between the Massachusetts Bay Colony and the Connecticut Colony, which was not resolved until 1803–4. (See the article on the History of Massachusetts-Connecticut Border). As a result, some lands originally administered by Springfield – including the William Pynchon's Warehouse Point – are now administered by Connecticut."
17th century -> Trade and encroachment,"For the next several decades, Native people experienced a complex relationship with the colonists. The fur trade stood at the heart of their economic interactions, a lucrative business that guided many other policy decisions. White settlers traded wampum, cloth and metal in exchange for furs, as well as horticultural produce. Because of the seasonal nature of goods provided by Native people, compared with the constant availability of colonial goods, a credit system developed. Land, the natural resource whose availability did not fluctuate, served as collateral for mortgages in which Native people bought goods from colonists in exchange for the future promise of beavers. However, trade with the colonists made pelts so lucrative that the beaver was rapidly overhunted. The volume of the trade fell, from a 1654 high of 3,723 pelts to a mere 191 ten years later. With every mortgage, Native people lost more land - even as their population base recovered and expanded from previous epidemics of diseases.
In a process that historian Lisa Brooks calls ""the deed game"", colonists acquired an increasing amount of land from Indian tribes through debt, fraudulent purchases and a variety of other methods. Springfield settler Samuel Marshfield took so much land from the inhabitants of Agawam that they had “little left to plant on,” to the point that the Massachusetts General Court stepped in and forced Marshfield to allocate them 15 acres. Native people began to construct and gather in palisaded “forts” - structures that were not necessary beforehand. The Agawam fort outside of Springfield was on Long Hill, although it is commonly (incorrectly) believed that it stood in a modern-day park called “King Philip’s Stockade.” These sites were excavated in the 19th and 20th centuries by anthropologists, who, as previously noted, took cultural objects and human remains and displayed them for years in area museums. With the passage of the Native American Graves Protection and Repatriation Act (NAGPRA) in 1990, a long process of repatriation began.
Tensions between the colonists (including those living in Sprinfield) and surrounding Indian tribes, which had already been poor for some time, continued to deteriorate in the years preceding the outbreak of King Philip's War. Colonial encroachment on Indian lands, combined with the decimation of the native population from European diseases, led to increasing Native resentment and hostility towards the colonists. Though some Indians became integrated into colonial society, with many being employed in white households, numerous pieces of legislation were passed which prevented Indians from marrying settlers and staying in colonial settlements after dark, while colonists were prevented from living among the Indians."
17th century -> King Philip's War,"Wamsutta's brother, Chief Metacomet (known to inhabitants of Springfield as ""Philip,"") began a war against colonial expansion in New England which spread across the region. As the conflict grew in its initial months, colonists throughout Western Massachusetts became deeply concerned with maintaining the loyalty of ""their Indians."" The Agawams cooperated, even providing valuable intelligence to the colonists.
In August 1675, a group of colonists in Hadley demanded the disarming of a “fort” of Nonotuck Indians. Unwilling to relinquish their weapons, they left on the night of August 25. A hundred colonists pursued them, catching up to them at the foot of Sugarloaf Hill, which was a sacred space for the Nonotucks called the Great Beaver. The colonists attacked, but the Nonotucks forced them to withdraw and were able to keep moving. The shedding of Native blood on sacred land was an attack on their entire kinship network, a reality whose implications were not lost to John Pynchon. He forced the Agawams of Long Hill to send hostages down to Hartford, in a move that he hoped would prevent the Agawam people from fighting alongside their kin. These efforts did not succeed.
In October 1675, warriors from other villages joined the Agawams at their village at Long Hill, preparing for one of the largest battles in King Philip's War. The historian Charles Barrows speculates that prior to carrying out the attack, they sent messengers to Hartford to encourage facilitate the escape of the Agawam hostages being held there. Possibly because these members, a Native man named Toto, who lived between Springfield and Hartford in Windsor and was connected to the Wolcott family, learned of and warned the colonists of Springfield about the impending attack.
On October 5, 1675, despite the advance warning, during the Siege of Springfield, 45 of Springfield's 60 houses were burned to the ground, as were the grist and saw mills belonging to village leader John Pynchon, which became smoldering ruins. Following the Siege of Springfield, serious thought was given to abandoning the village of Springfield and defecting to nearby towns; however, residents of Springfield endured the winter of 1675 under siege conditions. During that winter, Captain Miles Morgan's block-house became Springfield's fortress. It held-out until messengers had been despatched to Hadley, after which thirty-six men (the standing army of the Massachusetts Bay Colony), under command of Captain Samuel Appleton, marched to Springfield and raised the siege. Today, a large bronze statue of Morgan, who lost his son Pelatiah and son-in-law Edmund Prinrideyes in King Philip's War, stands in Springfield's Court Square, showing him in huntsman's dress with a rifle over his shoulder.
During King Philip's War, over 800 settlers were killed and approximately 8,000 Natives were killed, enslaved, or made refugees. Some histories mark the end of the war with the death of Metacom in the summer of 1676, however the conflict extended into present-day Maine, where the Wabanakis succuesfully managed to persuade the colonists to sign a truce after a period of conflict.
Following the war, the greater part of the Native American population left Western Massachusetts behind, although land cessions from Native people to the  colonists continued into the 1680's. Many native refugees of the conflict joined the Wabanaki in the north, where their descendants remain today. Native warriors returned to Western Massachusetts alongside the French during the Seven Years' War, and oral histories recall Abenaki visitors to Deerfield as recently as the 1830s.
Today, it is claimed that King Philip incited the Agawam Indians into the attack, on a hilltop now known as King Philip's Stockade. It is a Springfield city park that offers excellent views of the Connecticut River, city skyline, picnic pavilions, and a statue depicting the famous Windsor Indian who tried to warn the residents of Springfield of impending danger. The actual location of the stockaded Indian village is about a mile north, off Longhill Street, on a bluff overlooking the river. In 2005, a group of Native people from the Nipmuc Nation in Worcester performed a rededication ceremony of the ""Stockade."""
