UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
1,56,Male,Pakistan,82812,TRUE,TRUE,Engineer,Rural,Instagram,80,17,4229,Pranks,24,7867,5,26,22,87,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data
2,46,Female,Mexico,27999,FALSE,TRUE,Artist,Urban,Instagram,228,14,2131,Pranks,19,5944,6,25,31,46,Afternoon,5,5,Habit,Computer,Android,5:00 PM,7,3,At school,Wi-Fi
3,32,Female,United States,42436,FALSE,TRUE,Engineer,Rural,Facebook,30,6,4367,Vlogs,19,8674,3,9,7,88,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At home,Mobile Data
4,60,Male,Barzil,62963,TRUE,FALSE,Waiting staff,Rural,YouTube,101,19,1507,Vlogs,4,2477,2,6,41,93,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,Commuting,Mobile Data
5,25,Male,Pakistan,22096,FALSE,TRUE,Manager,Urban,TikTok,136,6,2159,Gaming,19,3093,7,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,8:00 AM,10,0,At home,Mobile Data
6,38,Male,Vietnam,45279,FALSE,FALSE,driver,Urban,Instagram,89,18,2917,Jokes/Memes,9,8534,5,27,16,38,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Wi-Fi
7,56,Male,India,46201,FALSE,FALSE,Students,Rural,TikTok,247,5,3230,Vlogs,16,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At school,Wi-Fi
8,36,Male,Barzil,39715,FALSE,FALSE,Engineer,Rural,Instagram,191,6,9859,Entertainment,27,9654,3,28,43,29,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data
9,40,Male,United States,49309,FALSE,FALSE,Waiting staff,Rural,Instagram,34,2,6266,Vlogs,4,9394,8,20,44,19,Night,3,7,Entertainment,Computer,Android,9:00 PM,5,5,At home,Mobile Data
10,28,Other,United States,35078,FALSE,FALSE,Students,Rural,YouTube,165,8,4137,ASMR,6,9813,6,4,47,91,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
11,28,Male,Indonesia,76614,TRUE,TRUE,Manager,Rural,Instagram,14,15,2690,Pranks,8,6227,4,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
12,41,Other,Philippines,25105,FALSE,FALSE,Labor/Worker,Urban,TikTok,129,15,7191,Life Hacks,27,3535,9,26,48,35,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At home,Wi-Fi
13,53,Male,Japan,22839,FALSE,FALSE,Waiting staff,Rural,Instagram,286,11,2811,Gaming,29,7004,5,4,32,70,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
14,57,Male,Indonesia,88920,TRUE,TRUE,Waiting staff,Rural,Facebook,27,1,6153,Vlogs,24,2913,6,8,15,23,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,Commuting,Wi-Fi
15,41,Other,Vietnam,63619,TRUE,TRUE,Cashier,Rural,YouTube,207,18,13,Gaming,16,9381,9,13,5,46,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At school,Wi-Fi
16,20,Female,Philippines,62821,TRUE,TRUE,Students,Rural,YouTube,66,12,5939,Entertainment,5,2340,7,10,11,44,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,At school,Mobile Data
17,39,Female,Mexico,33493,FALSE,FALSE,Waiting staff,Rural,Facebook,102,12,8000,ASMR,21,9795,5,18,15,48,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi
18,19,Female,Barzil,37069,FALSE,FALSE,Students,Rural,Facebook,28,11,7220,ASMR,22,5289,2,9,29,52,Evening,6,4,Habit,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
19,41,Other,Japan,27531,FALSE,FALSE,Labor/Worker,Rural,Facebook,202,8,5329,Pranks,10,597,4,1,45,8,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At work,Mobile Data
20,61,Male,United States,57051,TRUE,TRUE,Labor/Worker,Urban,Instagram,246,7,3622,Vlogs,23,8836,2,13,4,55,Morning,8,2,Habit,Smartphone,MacOS,8:00 AM,10,0,At work,Mobile Data
21,47,Male,India,27736,FALSE,FALSE,Waiting staff,Rural,YouTube,286,2,3684,Vlogs,13,7145,3,18,49,66,Afternoon,5,5,Habit,Tablet,iOS,5:00 PM,7,3,Commuting,Mobile Data
