Title,Authors,Publication Date,Journal,Citation Info,Content Type,Article URL,PDF URL,DOI,Page Number,Search Topic
Global mental health: an interview with Vikram Patel,Vikram Patel,14 March 2014,BMC Medicine,2014 12:44,Question and Answer,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-44,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-44.pdf,10.1186/1741-7015-12-44,1,mental health
Perinatal mental health services for women from minority ethnic groups: why patient-centred approach matter,"Shanquan Chen, Huyang Zhang and Hannah Kuper",3 October 2023,BMC Medicine,2023 21:371,Commentary,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02979-4,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-02979-4.pdf,10.1186/s12916-023-02979-4,1,mental health
Is diagnosis enough to guide interventions in mental health? Using case formulation in clinical practice,"Craig A Macneil, Melissa K Hasty, Philippe Conus and Michael Berk",27 September 2012,BMC Medicine,2012 10:111,Commentary,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-10-111,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-10-111.pdf,10.1186/1741-7015-10-111,1,mental health
Importance of accurate and accessible recording of healthcare contacts in mental health,"Ruth H. Jack, Carol A. C. Coupland, Rebecca M. Joseph, Chris Hollis, Richard Morriss, Roger David Knaggs, Andrea Cipriani, Samuele Cortese and Julia Hippisley-Cox",12 September 2023,BMC Medicine,2023 21:346,Correspondence,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-03044-w,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-03044-w.pdf,10.1186/s12916-023-03044-w,1,mental health
Correction: The use and impact of surveillance-based technology initiatives in inpatient and acute mental health settings: a systematic review,"Jessica L. Griffiths, Katherine R. K. Saunders, Una Foye, Anna Greenburgh, Ciara Regan, Ruth E. Cooper, Rose Powell, Ellen Thomas, Geoff Brennan, Antonio Rojas-García, Brynmor Lloyd-Evans, Sonia Johnson and Alan Simpson",8 March 2025,BMC Medicine,2025 23:141,Correction,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-03979-2,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-025-03979-2.pdf,10.1186/s12916-025-03979-2,1,mental health
Systems all the way down: embracing complexity in mental health research,Eiko I. Fried and Donald J. Robinaugh,14 July 2020,BMC Medicine,2020 18:205,Editorial,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01668-w,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01668-w.pdf,10.1186/s12916-020-01668-w,1,mental health
The long road from person-specific models to personalized mental health treatment,"Thomas L. Rodebaugh, Madelyn R. Frumkin and Marilyn L. Piccirillo",1 December 2020,BMC Medicine,2020 18:365,Commentary,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01838-w,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01838-w.pdf,10.1186/s12916-020-01838-w,1,mental health
The use and impact of surveillance-based technology initiatives in inpatient and acute mental health settings: a systematic review,"Jessica L. Griffiths, Katherine R. K. Saunders, Una Foye, Anna Greenburgh, Ciara Regan, Ruth E. Cooper, Rose Powell, Ellen Thomas, Geoff Brennan, Antonio Rojas-García, Brynmor Lloyd-Evans, Sonia Johnson and Alan Simpson",29 November 2024,BMC Medicine,2024 22:564,Research,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03673-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03673-9.pdf,10.1186/s12916-024-03673-9,1,mental health
Ten years of tracking mental health in refugee primary health care settings: an updated analysis of data from UNHCR’s Health Information System (2009–2018),"Shoshanna L. Fine, Jeremy C. Kane, Paul B. Spiegel, Wietse A. Tol and Peter Ventevogel",16 May 2022,BMC Medicine,2022 20:183,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02371-8,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-022-02371-8.pdf,10.1186/s12916-022-02371-8,1,mental health
Supporting youth mental health with arts-based strategies: a global perspective,"Tasha L. Golden, Richard W. Ordway, Susan Magsamen, Aanchal Mohanty, Yifan Chen and T. W. Cherry Ng",3 January 2024,BMC Medicine,2024 22:7,Opinion,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-03226-6,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-03226-6.pdf,10.1186/s12916-023-03226-6,1,mental health
Moving towards a population health approach to the primary prevention of common mental disorders,"Felice N Jacka, Arnstein Mykletun and Michael Berk",27 November 2012,BMC Medicine,2012 10:149,Opinion,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-10-149,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-10-149.pdf,10.1186/1741-7015-10-149,1,mental health
"The effectiveness, implementation, and experiences of peer support approaches for mental health: a systematic umbrella review","Ruth E. Cooper, Katherine R. K. Saunders, Anna Greenburgh, Prisha Shah, Rebecca Appleton, Karen Machin, Tamar Jeynes, Phoebe Barnett, Sophie M. Allan, Jessica Griffiths, Ruth Stuart, Lizzie Mitchell, Beverley Chipp, Stephen Jeffreys, Brynmor Lloyd-Evans, Alan Simpson…",29 February 2024,BMC Medicine,2024 22:72,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03260-y,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03260-y.pdf,10.1186/s12916-024-03260-y,1,mental health
Differences in access and utilisation of mental health services in the perinatal period for women from ethnic minorities—a population-based study,"Jelena Jankovic, Jake Parsons, Nikolina Jovanović, Giles Berrisford, Alex Copello, Qulsom Fazil and Stefan Priebe",11 September 2020,BMC Medicine,2020 18:245,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01711-w,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01711-w.pdf,10.1186/s12916-020-01711-w,1,mental health
Mental health and smoking cessation—a population survey in England,"Leonie S. Brose, Jamie Brown and Ann McNeill",25 June 2020,BMC Medicine,2020 18:161,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01617-7,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01617-7.pdf,10.1186/s12916-020-01617-7,1,mental health
Optimising strategies to address mental ill-health in doctors and medical students: ‘Care Under Pressure’ realist review and implementation guidance,"Daniele Carrieri, Karen Mattick, Mark Pearson, Chrysanthi Papoutsi, Simon Briscoe, Geoff Wong and Mark Jackson",8 April 2020,BMC Medicine,2020 18:76,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01532-x,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-01532-x.pdf,10.1186/s12916-020-01532-x,1,mental health
Adverse childhood experiences and child mental health: an electronic birth cohort study,"Emily Lowthian, Rebecca Anthony, Annette Evans, Rhian Daniel, Sara Long, Amrita Bandyopadhyay, Ann John, Mark A. Bellis and Shantini Paranjothy",6 August 2021,BMC Medicine,2021 19:172,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-021-02045-x,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-021-02045-x.pdf,10.1186/s12916-021-02045-x,1,mental health
Healthcare professionals’ views on the accessibility and acceptability of perinatal mental health services for South Asian and Black women: a qualitative study,"Kiren Bains, Sarah Bicknell, Nikolina Jovanović, Maev Conneely, Rosemarie McCabe, Alex Copello, Jessica Fletcher-Rogers, Stefan Priebe and Jelena Janković",2 October 2023,BMC Medicine,2023 21:370,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02978-5,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-02978-5.pdf,10.1186/s12916-023-02978-5,1,mental health
An exploration of the dynamic longitudinal relationship between mental health and alcohol consumption: a prospective cohort study,Steven Bell and Annie Britton,3 June 2014,BMC Medicine,2014 12:91,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-91,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-91.pdf,10.1186/1741-7015-12-91,1,mental health
"Mental, neurological, and substance use problems among refugees in primary health care: analysis of the Health Information System in 90 refugee camps","Jeremy C Kane, Peter Ventevogel, Paul Spiegel, Judith K Bass, Mark van Ommeren and Wietse A Tol",24 November 2014,BMC Medicine,2014 12:228,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-014-0228-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-014-0228-9.pdf,10.1186/s12916-014-0228-9,1,mental health
A healthy lifestyle is positively associated with mental health and well-being and core markers in ageing,"Pauline Hautekiet, Nelly D. Saenen, Dries S. Martens, Margot Debay, Johan Van der Heyden, Tim S. Nawrot and Eva M. De Clercq",29 September 2022,BMC Medicine,2022 20:328,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02524-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-022-02524-9.pdf,10.1186/s12916-022-02524-9,1,mental health
Epilepsy care guidelines for low- and middle- income countries: From WHO mental health GAP to national programs,Juri Katchanov and Gretchen L Birbeck,24 September 2012,BMC Medicine,2012 10:107,Minireview,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-10-107,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-10-107.pdf,10.1186/1741-7015-10-107,1,mental health
Are school-based mental health interventions for war-affected children effective and harmless?,Verena Ertl and Frank Neuner,21 May 2014,BMC Medicine,2014 12:84,Commentary,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-84,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-84.pdf,10.1186/1741-7015-12-84,1,mental health
Global mental health and neuroethics,Dan J Stein and James Giordano,4 March 2015,BMC Medicine,2015 13:44,Opinion,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-015-0274-y,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-015-0274-y.pdf,10.1186/s12916-015-0274-y,1,mental health
Lifestyle factors in preventing mental health disorders: an interview with Felice Jacka,Felice N. Jacka,14 October 2015,BMC Medicine,2015 13:264,Question and Answer,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-015-0490-5,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-015-0490-5.pdf,10.1186/s12916-015-0490-5,1,mental health
Q&A: Scaling up delivery of mental health treatments in low and middle income countries: interviews with Retha Arjadi and Vikram Patel,Retha Arjadi and Vikram Patel,19 November 2018,BMC Medicine,2018 16:211,Question and Answer,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-018-1209-1,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-018-1209-1.pdf,10.1186/s12916-018-1209-1,1,mental health
School-based mental health intervention for children in war-affected Burundi: a cluster randomized trial,"Wietse A Tol, Ivan H Komproe, Mark JD Jordans, Aline Ndayisaba, Prudence Ntamutumba, Heather Sipsma, Eva S Smallegange, Robert D Macy and Joop TVM de Jong",1 April 2014,BMC Medicine,2014 12:56,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-12-56,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-12-56.pdf,10.1186/1741-7015-12-56,1,mental health
Smartphone screen time reduction improves mental health: a randomized controlled trial,"Christoph Pieh, Elke Humer, Andreas Hoenigl, Julia Schwab, Doris Mayerhofer, Rachel Dale and Katja Haider",21 February 2025,BMC Medicine,2025 23:107,Research,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-03944-z,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-025-03944-z.pdf,10.1186/s12916-025-03944-z,1,mental health
Investigating the causal effects of childhood and adulthood adiposity on later life mental health outcome: a Mendelian randomization study,"Sweta Pathak, Tom G. Richardson, Eleanor Sanderson, Bjørn Olav Åsvold, Laxmi Bhatta and Ben M. Brumpton",6 January 2025,BMC Medicine,2025 23:4,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03765-6,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03765-6.pdf,10.1186/s12916-024-03765-6,1,mental health
Mental health and resiliency following 44 months of terrorism: a survey of an Israeli national representative sample,"Avi Bleich, Marc Gelkopf, Yuval Melamed and Zahava Solomon",27 August 2006,BMC Medicine,2006 4:21,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-4-21,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-4-21.pdf,10.1186/1741-7015-4-21,1,mental health
Clinical classification in mental health at the cross-roads: which direction next?,"Ian B Hickie, Jan Scott, Daniel F Hermens, Elizabeth M Scott, Sharon L Naismith, Adam J Guastella, Nick Glozier and Patrick D McGorry",14 May 2013,BMC Medicine,2013 11:125,Debate,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-11-125,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-11-125.pdf,10.1186/1741-7015-11-125,1,mental health
The risk associated with ultra-processed food intake on depressive symptoms and mental health in older adults: a target trial emulation,"Belayneh Mengist, Mojtaba Lotfaliany, Julie A. Pasco, Bruno Agustini, Michael Berk, Malcolm Forbes, Melissa M. Lane, Suzanne G. Orchard, Joanne Ryan, Alice J. Owen, Robyn L. Woods, John J. McNeil and Mohammadreza Mohebbi",24 March 2025,BMC Medicine,2025 23:172,Research,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-04002-4,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-025-04002-4.pdf,10.1186/s12916-025-04002-4,1,mental health
Clinical staging and the differential risks for clinical and functional outcomes in young people presenting for youth mental health care,"William Capon, Ian B. Hickie, Mathew Varidel, Ante Prodan, Jacob J. Crouse, Joanne S. Carpenter, Shane P. Cross, Alissa Nichles, Natalia Zmicerevska, Adam J. Guastella, Elizabeth M. Scott, Jan Scott, Jai Shah and Frank Iorfino",14 December 2022,BMC Medicine,2022 20:479,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02666-w,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-022-02666-w.pdf,10.1186/s12916-022-02666-w,1,mental health
"Associations between smoking and vaping prevalence, product use characteristics, and mental health diagnoses in Great Britain: a population survey","Eve Taylor, Leonie S Brose, Ann McNeill, Jamie Brown, Loren Kock and Debbie Robson",14 June 2023,BMC Medicine,2023 21:211,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02890-y,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-02890-y.pdf,10.1186/s12916-023-02890-y,1,mental health
Association between drinking water quality and mental health and the modifying role of diet: a prospective cohort study,"Shuduo Zhou, Mintao Su, Peng Shen, Zongming Yang, Pengfei Chai, Shengzhi Sun, Hongbo Lin, Liming Shui, Na Zhang, Ming Xu, Zhi-Jie Zheng, Jianbing Wang, Zhenyu Zhang and Kun Chen",2 February 2024,BMC Medicine,2024 22:53,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03269-3,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03269-3.pdf,10.1186/s12916-024-03269-3,1,mental health
"The course of mental health after miscarriage and induced abortion: a longitudinal, five-year follow-up study","Anne Nordal Broen, Torbjørn Moum, Anne Sejersted Bødtker and Øivind Ekeberg",12 December 2005,BMC Medicine,2005 3:18,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-3-18,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/1741-7015-3-18.pdf,10.1186/1741-7015-3-18,1,mental health
Measuring resilience prospectively as the speed of affect recovery in daily life: a complex systems perspective on mental health,"Anna Kuranova, Sanne H. Booij, Claudia Menne-Lothmann, Jeroen Decoster, Ruud van Winkel, Philippe Delespaul, Marc De Hert, Catherine Derom, Evert Thiery, Bart P. F. Rutten, Nele Jacobs, Jim van Os, Johanna T. W. Wigman and Marieke Wichers",18 February 2020,BMC Medicine,2020 18:36,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-1500-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-020-1500-9.pdf,10.1186/s12916-020-1500-9,1,mental health
Preventing mental health problems in offspring by targeting dietary intake of pregnant women,"Adrienne O'Neil, Catherine Itsiopoulos, Helen Skouteris, Rachelle S Opie, Skye McPhie, Briony Hill and Felice N Jacka",14 November 2014,BMC Medicine,2014 12:208,Opinion,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-014-0208-0,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-014-0208-0.pdf,10.1186/s12916-014-0208-0,1,mental health
"Effects of probiotic and vitamin D co-supplementation on clinical symptoms, mental health, and inflammation in adult patients with migraine headache: a randomized, triple-blinded, placebo-controlled trial","Shahnaz Amani Tirani, Fariborz Khorvash, Parvane Saneei, Zahra Moradmand and Gholamreza Askari",11 October 2024,BMC Medicine,2024 22:457,Research,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-024-03684-6,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-024-03684-6.pdf,10.1186/s12916-024-03684-6,1,mental health
Antidepressant drug prescription and incidence of COVID-19 in mental health outpatients: a retrospective cohort study,"Oleg O. Glebov, Christoph Mueller, Robert Stewart, Dag Aarsland and Gayan Perera",21 June 2023,BMC Medicine,2023 21:209,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02877-9,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-02877-9.pdf,10.1186/s12916-023-02877-9,1,mental health
Common mental health disorders in adults with inflammatory skin conditions: nationwide population-based matched cohort studies in the UK,"Alasdair D. Henderson, Elizabeth Adesanya, Amy Mulick, Julian Matthewman, Nhung Vu, Firoza Davies, Catherine H. Smith, Joseph Hayes, Kathryn E. Mansfield and Sinéad M. Langan",4 August 2023,BMC Medicine,2023 21:285,Research article,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-023-02948-x,https://bmcmedicine.biomedcentral.com/counter/pdf/10.1186/s12916-023-02948-x.pdf,10.1186/s12916-023-02948-x,1,mental health
