chunk_id,document,text,chunk_length
cancer_and_cure__a_critical_analysis.27.pdf_0,cancer_and_cure__a_critical_analysis.27.pdf,"441© 2 017 Indian Journal of Cancer | Pulished by Wolters Kluwer - Medknow
Cancer and cure: A critical analysis
Roy PS, Saikia BJ
Department of Medical Oncology, Dr. B. Borooah Cancer Institute, Guwahati, Assam, India
Correspondence to: Dr. Roy PS, E‑mail: drpsr.roy@rediffmail.com
Abstract
Cancer is one of the most dreaded diseases of the 20th century and spreading further with continuance and increasing incidence in the 21st century. 
The situation is so alarming that every fourth person is having a lifetime risk of cancer. India registers more than 11 lakh new cases of cancer 
every year, whereas, this figure is above 14 million worldwide. Is cancer curable? The short answer to this question is “Yes.” In fact, all cancers 
are curable if they are caught early enough. Cancer cells continue to grow unless one of four things occur: (1) The cancerous mass is removed",876
cancer_and_cure__a_critical_analysis.27.pdf_1,cancer_and_cure__a_critical_analysis.27.pdf,"surgically; (2) using chemotherapy or another type of cancer‑specific medication, such as hormonal therapy; (3) using radiation therapy; or (4) the 
cancer cells shrink and disappear on their own.
Key Words: Cancer, carcinogenesis, targeted therapy
Introduction
A hundred years ago, cancer was not so common; however, 
since the last couple of decades, its incidence has been rising 
alarmingly , probably due to our changing lifestyle, habits, 
and increased life expectancy . Cancer is one of the most 
dreaded diseases of the 20 th century and spreading further 
with continuance and increasing incidence in the 21 st century . 
The situation is so alarming that every fourth person is 
having a lifetime risk of cancer. [1] India registers more than 
11 lakh new cases of cancer every year, whereas, this figure 
is above 14 million worldwide. We are constantly exposed 
to a variety of cancer causing agents, known as carcinogens.
What is cancer? Put simply; cancer is the abnormal growth",993
cancer_and_cure__a_critical_analysis.27.pdf_2,cancer_and_cure__a_critical_analysis.27.pdf,"What is cancer? Put simply; cancer is the abnormal growth 
of cells. Cancers arise from any organ or body structure and 
are composed of tiny cells that have lost the ability to stop 
growing. Occasionally , cancer may be detected “incidentally” by 
a laboratory test or radiological routine test or for an entirely 
different reason. In general, cancer must reach a size of 1 
cm, or be comprised of 1 million cells, before it is detected. 
At this point, it may be referred to as a “‘mass,” a “growth,” 
a “tumor,” a “nodule,” a “lump,” or a “lesion.” Exceptions 
to this general rule include cancers of the blood and bone 
marrow (leukemia’s and lymphomas) – which frequently do 
not produce a “mass,” but will be evident on laboratory tests.
Transformation of a normal cell into a cancerous cell is 
probably not such a critical event in the genesis of cancer; 
rather it is the inability of immune cells of the body to 
identify and destroy the newly formed cancer cells when",980
cancer_and_cure__a_critical_analysis.27.pdf_3,cancer_and_cure__a_critical_analysis.27.pdf,"identify and destroy the newly formed cancer cells when 
they are a few in numbers. [2] The risk of cancer is multiplied 
in those persons, whose immune system is suppressed due 
to any factor including chronic stress, old age, chronic 
debilitating disease, previous use of chemotherapy , and abuse 
of drugs such as analgesics, antibiotics, and corticosteroids.
Multidisciplinary Aspects
Cancer cells continue to grow unless one of four things 
occur:  (1) The cancerous mass is removed surgically; 
(2) using chemotherapy or another type of cancer -specific 
medication, such as hormonal therapy; (3) using radiation 
therapy; or (4) the cancer cells shrink and disappear on their 
own. This last event, while extremely rare, can occur with 
some melanomas or some kidney cancers.
Surgery , radiotherapy , and chemotherapy from the 
conventional approaches are used to treat cancer. Surgery 
was the first modality used successfully in the treatment of",955
cancer_and_cure__a_critical_analysis.27.pdf_4,cancer_and_cure__a_critical_analysis.27.pdf,"was the first modality used successfully in the treatment of 
cancer. It is the only curative therapy for many common 
solid tumors. The most important determinant of a successful 
surgical therapy is the absence of distant metastases and 
no local infiltration. Chemotherapy is the administration 
of cytotoxic agents (orally or intravenously , usually in 
combinations) resulting in cytotoxicity to both resting and 
dividing cells. The objective of cancer chemotherapy is to 
prevent cancer cells from multiplying, invading, metastasizing, 
and killing the patient. Systemic chemotherapy is the main 
treatment available for disseminated malignant diseases. 
Radiation therapy is a local modality used in the treatment of 
cancer. Other conventional techniques used in the treatment 
of cancer including bone marrow transplantation, peripheral 
stem cell transplantation, hormone therapy , photodynamic 
therapy , cryosurgery , immunotherapy , and gene therapy .",965
cancer_and_cure__a_critical_analysis.27.pdf_5,cancer_and_cure__a_critical_analysis.27.pdf,"therapy , cryosurgery , immunotherapy , and gene therapy .
Is cancer curable? The short answer to this question is “Y es.” In 
fact, all cancers are curable if they are caught early enough. That 
is the justification for screening tests (such as mammograms, 
colonoscopies, and Pap smear examination). When cancers are 
caught early , they tend to be smaller; they are thus either easier 
to remove surgically or more likely to shrink in response to 
chemotherapy or radiation therapy . When cancer is localized, it 
can be totally removed by surgery but in most of the cases, it 
is practically impossible to detect cancer at such an early stage. 
Early detection is often the key to surviving any form of cancer.
The diagnosis and treatment of cancer have come a long way 
in the last 50 years. In the past, cancer, the “C-word,” was a 
death sentence. Today , we can treat and cure several types of 
cancer; however, it is evident that these cancers need to be",963
cancer_and_cure__a_critical_analysis.27.pdf_6,cancer_and_cure__a_critical_analysis.27.pdf,"cancer; however, it is evident that these cancers need to be 
found at an early stage. More than 7 out of 10 children are 
cured of cancer. Testicular cancer, Hodgkin’s lymphoma and 
How to cite this article: Roy P, Saikia B. Cancer and cure: A 
critical analysis. Indian J Cancer 2016;53:441‑2.
This is an open access article distributed under the terms of the Creative Commons 
Attribution‑NonCommercial‑ShareAlike 3.0 License, which allows others to remix, 
tweak, and build upon the work non‑commercially, as long as the author is credited 
and the new creations are licensed under the identical terms.
For reprints contact: reprints@medknow.com
Review 
Article
Access this article online
Quick Response Code: Website: 
www.indianjcancer.com
DOI: 
10.4103/0019‑509X.200658 
PMID: 
***
Downloaded from http://journals.lww.com/indianjcancer by BhDMf5ePHKav1zEoum1tQfN4a+kJLhEZgbsIHo4XMi0
hCywCX1AWnYQp/IlQrHD3i3D0OdRyi7TvSFl4Cf3VC1y0abggQZXdgGj2MwlZLeI= on 12/03/2023",969
cancer_and_cure__a_critical_analysis.27.pdf_7,cancer_and_cure__a_critical_analysis.27.pdf,"Roy and Saikia: Cancer and cure
Indian Journal of Cancer | July-September 201 6 | Volume 53 | Issue 3442
many cases of leukemia can all be cured in adults with current 
treatments. Most skin cancers are cured with surgery . Moreover, 
many cases of thyroid cancer and cancer of the larynx are cured 
with radiotherapy . Many other types of cancer are also cured 
if they are found early enough  – for example, 75% of breast 
cancers found at an early stage. Of course, there is still a long 
way to go before we can cure most cancers. The difficulty is 
that different cancers are caused by different things, so there 
is not one strategy that can prevent them. They also respond 
to different treatments, so not one kind of treatment can cure 
them all. Even though we can cure several types of cancers, it 
is important to maintain vigilance about screening for cancer.
Some forms of cancer are curable no matter when they 
are detected, and some are only curable if they are caught",984
cancer_and_cure__a_critical_analysis.27.pdf_8,cancer_and_cure__a_critical_analysis.27.pdf,"are detected, and some are only curable if they are caught 
at any early stage. For example, acute leukemia and some 
types of lymphoma can be curable with chemotherapy . 
Certain lymphomas such as Hodgkin’s disease require 
radiation therapy for a cure. Other common cancers such 
as colon cancer, breast cancer, prostate cancer, lung cancer, 
and pancreatic cancer are all curable, but only if they are 
detected in early stages (Stage I or II).
Some cancers have high survival rates with early detection. 
Six highly treatable cancers among others are – cancers of 
breast, skin (nonmelanomas), colon, prostate, testes, and 
cervix. Most of the childhood malignancies (both solid and 
hematolymphoid) are curable.
Breast cancer is the most common nonskin cancer among 
women, as one out of every eight women will be diagnosed 
in her lifetime. In patients whose breast cancer is detected 
while still in localized form have a 5-year survival rate of",952
cancer_and_cure__a_critical_analysis.27.pdf_9,cancer_and_cure__a_critical_analysis.27.pdf,"while still in localized form have a 5-year survival rate of 
98%, compared with a survival rate of 72% by Stage III 
and just 22% by Stage IV . [3,4]
Skin cancers (basal cell carcinoma and squamous cell 
carcinoma) are the most common form of all human cancers, 
and if found early , skin cancer is nearly 100% treatable. 
Likewise, diagnosing cervical cancer while the lesions are 
precancerous leads to a near 100% survival rate, but the 
rate drops to just 32% if diagnosed in Stage III and 16% if 
diagnosed at Stage IV . Testicular cancer is treatable in 99% 
of the time when detected early , but only 73% are cancer-free 
after 5 years if diagnosed in advanced stages. Similarly , 5-year 
survival rate when colon cancer is detected early is 90%, yet 
only 39% of cases are diagnosed before cancer has begun to 
spread. According to the Surveillance, Epidemiology , and End 
Results Program, it is 98% survivable for 5 or more years",940
